WITTCASE NUMBER: HA002505
SAMPLE NUMBER:   23
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  LFA     	  LFA'		
  8.02   	-254.32		 67.02   	-111.90		
  7.00   	-233.98		 66.57   	-106.82		
  6.06   	-208.54		 66.14   	 -96.64		
  5.23   	-172.94		 65.76   	 -91.56		
  4.54   	-152.59		 65.39   	 -76.30		
  3.93   	-127.16		 65.09   	 -86.47		
  3.42   	-101.73		 64.74   	 -86.47		
  3.01   	 -76.30		 64.39   	 -81.38		
  2.71   	 -55.95		 64.07   	 -81.38		
  2.48   	 -55.95		 63.74   	 -81.38		
  2.26   	 -35.61		 63.42   	 -96.64		
  2.12   	 -35.61		 63.03   	-106.82		
  1.97   	 -30.52		 62.60   	-101.73		
  1.85   	 -35.61		 62.20   	-106.82		
  1.71   	 -30.52		 61.77   	-106.82		
  1.59   	 -35.61		 61.34   	-111.90		
  1.44   	 -35.61		 60.89   	-106.82		
  1.30   	 -40.69		 60.47   	 -96.64		
  1.14   	 -35.61		 60.08   	 -86.47		
  1.00   	 -25.43		 59.74   	 -76.30		
  0.90   	 -15.26		 59.43   	 -71.21		
  0.83   	  -5.09		 59.15   	 -66.12		
  0.81   	   5.09		 58.88   	 -55.95		
  0.83   	  15.26		 58.66   	 -50.86		
  0.90   	  25.43		 58.45   	 -61.04		
  1.00   	  30.52		 58.21   	 -55.95		
  1.12   	  15.26		 57.99   	 -61.04		
  1.18   	   0.00		 57.74   	 -61.04		
  1.18   	 -10.17		 57.50   	 -61.04		
  1.14   	 -10.17		 57.25   	 -55.95		
  1.10   	 -10.17		 57.03   	 -55.95		
  1.06   	 -10.17		 56.81   	 -55.95		
  1.02   	 -15.26		 56.58   	 -50.86		
  0.96   	 -15.26		 56.38   	 -45.78		
  0.90   	 -15.26		 56.20   	 -45.78		
  0.83   	 -20.35		 56.01   	 -40.69		
  0.75   	 -20.35		 55.85   	 -40.69		
  0.67   	 -15.26		 55.69   	 -40.69		
  0.61   	 -10.17		 55.52   	 -35.61		
  0.57   	  -5.09		 55.38   	 -40.69		
  0.55   	   0.00		 55.22   	 -40.69		
  0.55   	  -5.09		 55.06   	 -40.69		
  0.53   	  -5.09		 54.89   	 -35.61		
  0.51   	  -5.09		 54.75   	 -45.78		
  0.49   	  -5.09		 54.57   	 -45.78		
  0.47   	 -15.26		 54.38   	 -45.78		
  0.41   	 -10.17		 54.20   	 -45.78		
  0.37   	  -5.09		 54.02   	 -40.69		
  0.35   	 -15.26		 53.86   	 -40.69		
  0.28   	 -10.17		 53.69   	 -40.69		
  0.24   	  -5.09		 53.53   	 -40.69		
  0.22   	  -5.09		 53.37   	 -35.61		
