WITTCASE NUMBER: HB001772
SAMPLE NUMBER:   16
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  LFA     	  LFA'		  RV     	  RV'		
 65.00   	-127.16		 49.36   	-259.41		
 64.50   	-122.07		 48.32   	-305.19		
 64.01   	-116.99		 47.10   	-345.88		
 63.54   	-111.90		 45.72   	-391.66		
 63.09   	-111.90		 44.15   	-412.00		
 62.64   	-122.07		 42.50   	-412.00		
 62.16   	-137.33		 40.85   	-422.18		
 61.61   	-142.42		 39.17   	-437.43		
 61.04   	-147.51		 37.42   	-437.43		
 60.45   	-157.68		 35.67   	-467.95		
 59.82   	-172.94		 33.79   	-528.99		
 59.12   	-172.94		 31.68   	-554.42		
 58.43   	-172.94		 29.46   	-549.34		
 57.74   	-198.37		 27.26   	-523.90		
 56.95   	-203.46		 25.17   	-508.65		
 56.13   	-193.29		 23.13   	-478.13		
 55.36   	-157.68		 21.22   	-401.83		
 54.73   	-142.42		 19.61   	-356.05		
 54.16   	-137.33		 18.19   	-325.53		
 53.61   	-127.16		 16.89   	-300.10		
 53.10   	-111.90		 15.69   	-289.93		
 52.65   	-101.73		 14.53   	-284.84		
 52.25   	-116.99		 13.39   	-284.84		
 51.78   	-122.07		 12.25   	-274.67		
 51.29   	-127.16		 11.15   	-279.75		
 50.78   	-122.07		 10.03   	-274.67		
 50.29   	-132.25		  8.93   	-254.32		
 49.77   	-116.99		  7.91   	-233.98		
 49.30   	-111.90		  6.98   	-188.20		
 48.85   	-101.73		  6.23   	-111.90		
 48.44   	 -96.64		  5.78   	 -30.52		
 48.06   	 -81.38		  5.66   	  30.52		
 47.73   	 -86.47		  5.78   	  55.95		
 47.39   	 -81.38		  6.00   	  55.95		
 47.06   	 -81.38		  6.23   	  35.61		
 46.73   	 -76.30		  6.37   	  10.17		
 46.43   	 -61.04		  6.41   	 -25.43		
 46.18   	 -66.12		  6.31   	 -40.69		
 45.92   	 -71.21		  6.14   	 -55.95		
 45.64   	 -66.12		  5.92   	 -61.04		
 45.37   	 -66.12		  5.68   	 -45.78		
 45.11   	 -55.95		  5.49   	 -25.43		
 44.88   	 -61.04		  5.39   	 -20.35		
 44.64   	 -55.95		  5.31   	  -5.09		
 44.41   	 -50.86		  5.29   	   0.00		
 44.21   	 -45.78		  5.29   	  -5.09		
 44.03   	 -50.86		  5.27   	   0.00		
 43.82   	 -50.86		  5.27   	   0.00		
 43.62   	 -45.78		  5.27   	  -5.09		
 43.44   	 -50.86		  5.25   	  -5.09		
 43.23   	 -50.86		  5.23   	   5.09		
 43.03   	 -55.95		  5.25   	   5.09		
 42.81   	 -45.78		  5.27   	  15.26		
