WITTCASE NUMBER: HB002748
SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 39.37   	 -50.86		 50.09   	 -20.35		
 39.17   	 -55.95		 50.01   	 -20.35		
 38.94   	 -50.86		 49.93   	 -20.35		
 38.74   	 -50.86		 49.85   	 -20.35		
 38.53   	 -55.95		 49.77   	 -20.35		
 38.31   	 -61.04		 49.68   	 -20.35		
 38.07   	 -55.95		 49.60   	 -20.35		
 37.84   	 -55.95		 49.52   	 -20.35		
 37.62   	 -40.69		 49.44   	 -20.35		
 37.46   	 -25.43		 49.36   	 -20.35		
 37.35   	   0.00		 49.28   	 -25.43		
 37.35   	  10.17		 49.18   	 -20.35		
 37.40   	  20.35		 49.09   	 -20.35		
 37.48   	  20.35		 49.01   	 -20.35		
 37.56   	   5.09		 48.93   	 -20.35		
 37.58   	 -10.17		 48.85   	 -15.26		
 37.54   	 -66.12		 48.79   	 -25.43		
 37.27   	 -91.56		 48.69   	 -20.35		
 36.91   	-111.90		 48.61   	 -25.43		
 36.46   	-116.99		 48.50   	 -20.35		
 35.99   	-122.07		 48.42   	 -30.52		
 35.50   	-116.99		 48.30   	 -30.52		
 35.04   	-106.82		 48.18   	 -25.43		
 34.61   	 -91.56		 48.08   	 -35.61		
 34.24   	 -81.38		 47.93   	 -30.52		
 33.92   	 -66.12		 47.81   	 -25.43		
 33.65   	 -50.86		 47.71   	 -30.52		
 33.45   	 -30.52		 47.59   	 -25.43		
 33.33   	 -10.17		 47.49   	 -25.43		
 33.29   	  15.26		 47.39   	 -20.35		
 33.35   	  40.69		 47.30   	 -20.35		
 33.51   	  61.04		 47.22   	 -20.35		
 33.75   	  91.56		 47.14   	 -20.35		
 34.12   	 106.82		 47.06   	 -15.26		
 34.55   	 127.16		 47.00   	 -10.17		
 35.06   	 142.42		 46.96   	 -10.17		
 35.63   	 157.68		 46.92   	  -5.09		
 36.26   	 162.77		 46.90   	   5.09		
 36.91   	 167.85		 46.92   	  20.35		
 37.58   	 172.94		 47.00   	  30.52		
 38.27   	 178.03		 47.12   	  61.04		
 38.98   	 208.54		 47.37   	 111.90		
 39.82   	 213.63		 47.81   	 142.42		
 40.67   	 213.63		 48.38   	 162.77		
 41.53   	 213.63		 49.03   	 183.11		
 42.38   	 213.63		 49.77   	 193.29		
 43.23   	 213.63		 50.54   	 203.46		
 44.09   	 208.54		 51.35   	 203.46		
 44.92   	 208.54		 52.17   	 208.54		
 45.76   	 198.37		 53.00   	 203.46		
 46.55   	 188.20		 53.81   	 203.46		
 47.30   	 188.20		 54.63   	 198.37		
 48.06   	 183.11		 55.42   	 193.29		
 48.79   	 178.03		 56.20   	 198.37		
 49.50   	 178.03		 56.99   	 193.29		
 50.21   	 183.11		 57.76   	 193.29		
 50.95   	 183.11		 58.53   	 188.20		
 51.68   	 183.11		 59.29   	 193.29		
 52.41   	 183.11		 60.06   	 183.11		
 53.14   	 188.20		 60.79   	 183.11		
 53.90   	 183.11		 61.53   	 178.03		
 54.63   	 178.03		 62.24   	 172.94		
 55.34   	 167.85		 62.93   	 172.94		
 56.01   	 157.68		 63.62   	 167.85		
 56.64   	 137.33		 64.29   	 157.68		
 57.19   	 116.99		 64.92   	 162.77		
 57.66   	  91.56		 65.57   	 162.77		
 58.03   	  66.12		 66.23   	 157.68		
 58.29   	  40.69		 66.86   	 147.51		
 58.45   	  25.43		 67.45   	 137.33		
 58.56   	   5.09		 68.00   	 116.99		
 58.58(S)	 -10.17		 68.46   	 101.73		
 58.53   	 -20.35		 68.87   	  91.56		
 58.45   	 -35.61		 69.24   	  81.38		
 58.31   	 -35.61		 69.56   	  66.12		
 58.17   	 -30.52		 69.83   	  61.04		
 58.05   	 -25.43		 70.07   	  50.86		
 57.94   	   0.00		 70.27   	  45.78		
 57.94   	  15.26		 70.46   	  40.69		
 58.01   	  20.35		 70.62   	  30.52		
 58.09   	  20.35		 70.74   	  20.35		
 58.17   	   0.00		 70.82   	  15.26		
 58.17   	 -25.43		 70.88(S)	  -5.09		
 58.07   	 -55.95		 70.86   	 -15.26		
 57.84   	 -96.64		 70.80   	 -35.61		
 57.46   	-132.25		 70.66   	 -45.78		
 56.93   	-162.77		 70.48   	 -61.04		
 56.28   	-188.20		 70.23   	 -81.38		
 55.52   	-193.29		 69.91   	 -86.47		
 54.75   	-193.29		 69.56   	-101.73		
 53.98   	-193.29		 69.16   	-116.99		
 53.20   	-172.94		 68.69   	-122.07		
 52.51   	-162.77		 68.20   	-132.25		
 51.86   	-147.51		 67.67   	-137.33		
 51.27   	-132.25		 67.12   	-147.51		
 50.74   	-122.07		 66.53   	-147.51		
 50.25   	-111.90		 65.94   	-152.59		
 49.81   	-106.82		 65.33   	-152.59		
 49.38   	 -96.64		 64.72   	-152.59		
 48.99   	-101.73		 64.11   	-142.42		
 48.59   	 -91.56		 63.54   	-137.33		
 48.22   	 -91.56		 62.99   	-132.25		
 47.85   	 -81.38		 62.46   	-122.07		
 47.53   	 -66.12		 61.97   	-116.99		
 47.26   	 -55.95		 61.51   	-111.90		
 47.04   	 -40.69		 61.06   	-106.82		
 46.88   	 -25.43		 60.63   	-101.73		
 46.77   	  -5.09		 60.22   	 -96.64		
 46.75   	   5.09		 59.84   	 -96.64		
 46.77   	  20.35		 59.45   	 -96.64		
 46.86   	  30.52		 59.06   	 -86.47		
 46.98   	  30.52		 58.72   	 -91.56		
 47.10   	  30.52		 58.35   	 -86.47		
 47.22   	  25.43		 58.01   	 -81.38		
 47.32   	  20.35		 57.68   	 -81.38		
 47.41   	   5.09		 57.35   	 -81.38		
 47.43   	  -5.09		 57.03   	 -76.30		
 47.41   	 -20.35		 56.72   	 -71.21		
 47.32   	 -30.52		 56.44   	 -71.21		
 47.20   	 -45.78		 56.15   	 -71.21		
 47.02   	 -61.04		 55.87   	 -61.04		
 46.77   	 -81.38		 55.63   	 -66.12		
 46.45   	 -91.56		 55.36   	 -61.04		
 46.08   	 -91.56		 55.12   	 -55.95		
 45.72   	 -96.64		 54.89   	 -55.95		
 45.33   	-101.73		 54.67   	 -50.86		
 44.92   	 -96.64		 54.47   	 -50.86		
 44.54   	 -96.64		 54.26   	 -45.78		
 44.15   	 -96.64		 54.08   	 -45.78		
 43.76   	 -91.56		 53.90   	 -45.78		
 43.40   	 -86.47		 53.71   	 -40.69		
 43.05   	 -81.38		 53.55   	 -40.69		
 42.73   	 -81.38		 53.39   	 -35.61		
 42.40   	 -71.21		 53.24   	 -35.61		
 42.12   	 -71.21		 53.10   	 -35.61		
 41.83   	 -61.04		 52.96   	 -35.61		
 41.59   	 -50.86		 52.82   	 -30.52		
 41.38   	 -35.61		 52.70   	 -35.61		
 41.24   	 -15.26		 52.55   	 -30.52		
 41.18   	   5.09		 52.43   	 -30.52		
 41.20   	  15.26		 52.31   	 -35.61		
 41.26   	  25.43		 52.17   	 -30.52		
 41.36   	  25.43		 52.04   	 -25.43		
 41.46   	  15.26		 51.94   	 -30.52		
 41.53   	   0.00		 51.82   	 -25.43		
 41.53   	 -25.43		 51.72   	 -25.43		
 41.42   	 -81.38		 51.62   	 -25.43		
 41.10   	-106.82		 51.52   	 -30.52		
 40.67   	-127.16		 51.39   	 -30.52		
 40.16   	-142.42		 51.27   	 -30.52		
 39.59   	-147.51		 51.15   	 -25.43		
 39.00   	-147.51		 51.05   	 -30.52		
 38.41   	-142.42		 50.93   	 -30.52		
 37.84   	-127.16		 50.80   	 -30.52		
 37.33   	-106.82		 50.68   	 -25.43		
 36.91   	 -81.38		 50.58   	 -30.52		
 36.58   	 -61.04		 50.46   	 -25.43		
 36.34   	 -40.69		 50.36   	 -25.43		
 36.17   	 -25.43		 50.25   	 -25.43		
 36.07   	 -15.26		 50.15   	 -25.43		
 36.01   	 -10.17		 50.05   	 -25.43		
 35.97   	   0.00		 49.95   	 -20.35		
 35.97   	   5.09		 49.87   	 -25.43		
 35.99   	  15.26		 49.77   	 -20.35		
 36.05   	  25.43		 49.68   	 -20.35		
 36.15   	  35.61		 49.60   	 -20.35		
 36.30   	  50.86		 49.52   	 -20.35		
 36.50   	  66.12		 49.44   	 -15.26		
 36.76   	  81.38		 49.38   	 -20.35		
 37.09   	  96.64		 49.30   	 -10.17		
 37.48   	 106.82		 49.26   	 -15.26		
 37.90   	 147.51		 49.20   	  -5.09		
 38.49   	 152.59		 49.18(D)	   5.09		
 39.10   	 157.68		 49.20   	  15.26		
 39.74   	 162.77		 49.26   	  25.43		
 40.39   	 157.68		 49.36   	  40.69		
 41.02   	 162.77		 49.52   	  61.04		
 41.67   	 157.68		 49.77   	  76.30		
 42.30   	 162.77		 50.07   	  96.64		
 42.95   	 162.77		 50.46   	 106.82		
 43.60   	 162.77		 50.88   	 116.99		
 44.25   	 162.77		 51.35   	 127.16		
 44.90   	 157.68		 51.86   	 132.25		
 45.53   	 162.77		 52.39   	 132.25		
 46.18   	 157.68		 52.92   	 137.33		
 46.82   	 157.68		 53.47   	 142.42		
 47.45   	 152.59		 54.04   	 132.25		
 48.06   	 147.51		 54.57   	 137.33		
 48.65   	 147.51		 55.12   	 137.33		
 49.24   	 137.33		 55.67   	 137.33		
 49.79   	 132.25		 56.22   	 132.25		
 50.32   	 127.16		 56.74   	 132.25		
 50.82   	 111.90		 57.27   	 132.25		
 51.27   	 106.82		 57.80   	 132.25		
 51.70   	  96.64		 58.33   	 127.16		
 52.09   	  86.47		 58.84   	 127.16		
 52.43   	  66.12		 59.35   	 132.25		
 52.70   	  45.78		 59.88   	 127.16		
 52.88   	  25.43		 60.39   	 122.07		
 52.98   	  15.26		 60.87   	 116.99		
 53.04   	  -5.09		 61.34   	 116.99		
 53.02   	 -15.26		 61.81   	 111.90		
 52.96   	 -25.43		 62.26   	 106.82		
 52.86   	 -25.43		 62.69   	 101.73		
 52.76   	 -25.43		 63.09   	  96.64		
 52.65   	 -20.35		 63.48   	  91.56		
 52.57   	 -25.43		 63.85   	  81.38		
 52.47   	 -30.52		 64.17   	  81.38		
 52.35   	 -45.78		 64.50   	  66.12		
 52.17   	 -55.95		 64.76   	  61.04		
 51.94   	 -81.38		 65.00   	  50.86		
 51.62   	 -96.64		 65.21   	  35.61		
 51.23   	-111.90		 65.35   	  30.52		
 50.78   	-132.25		 65.47   	  15.26		
 50.25   	-137.33		 65.53(S)	   0.00		
 49.70   	-147.51		 65.53   	 -15.26		
 49.11   	-142.42		 65.47   	 -25.43		
 48.55   	-137.33		 65.37   	 -35.61		
 48.00   	-132.25		 65.23   	 -55.95		
 47.47   	-122.07		 65.00   	 -66.12		
 46.98   	-116.99		 64.74   	 -76.30		
 46.51   	-101.73		 64.44   	 -86.47		
 46.10   	 -96.64		 64.09   	 -96.64		
 45.72   	 -91.56		 63.70   	-101.73		
 45.35   	 -86.47		 63.30   	-111.90		
 45.00   	 -81.38		 62.85   	-106.82		
 44.68   	 -76.30		 62.42   	-116.99		
 44.37   	 -76.30		 61.95   	-111.90		
 44.07   	 -71.21		 61.51   	-111.90		
 43.78   	 -66.12		 61.06   	-106.82		
 43.52   	 -61.04		 60.63   	-106.82		
 43.28   	 -55.95		 60.20   	-101.73		
 43.05   	 -40.69		 59.80   	-101.73		
 42.89   	 -35.61		 59.39   	 -96.64		
 42.75   	 -20.35		 59.00   	 -91.56		
 42.67   	 -10.17		 58.64   	 -86.47		
 42.62   	   0.00		 58.29   	 -91.56		
 42.62   	  10.17		 57.92   	 -86.47		
 42.67   	  15.26		 57.58   	 -86.47		
 42.73   	  15.26		 57.23   	 -81.38		
 42.79   	  15.26		 56.91   	 -86.47		
 42.85   	  10.17		 56.56   	 -81.38		
 42.89   	   0.00		 56.24   	 -86.47		
