WITTCASE NUMBER: HA001922
SAMPLE NUMBER:   12
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  RFA     	  RFA'		
 30.93   	 -86.47		 48.73   	 -45.78		
 30.58   	-111.90		 48.55   	 -66.12		
 30.13   	-101.73		 48.28   	 -61.04		
 29.73   	 -91.56		 48.04   	 -55.95		
 29.36   	 -86.47		 47.81   	 -45.78		
 29.01   	 -81.38		 47.63   	 -35.61		
 28.69   	 -71.21		 47.49   	 -30.52		
 28.40   	 -61.04		 47.37   	 -35.61		
 28.16   	 -61.04		 47.22   	 -35.61		
 27.91   	 -50.86		 47.08   	 -40.69		
 27.71   	 -45.78		 46.92   	 -35.61		
 27.53   	 -45.78		 46.77   	 -45.78		
 27.34   	 -45.78		 46.59   	 -50.86		
 27.16   	 -45.78		 46.39   	 -50.86		
 26.98   	 -50.86		 46.18   	 -45.78		
 26.78   	 -40.69		 46.00   	 -35.61		
 26.61   	 -50.86		 45.86   	 -35.61		
 26.41   	 -55.95		 45.72   	 -35.61		
 26.19   	 -71.21		 45.57   	 -40.69		
 25.90   	 -76.30		 45.41   	 -40.69		
 25.60   	 -71.21		 45.25   	 -45.78		
 25.31   	 -66.12		 45.07   	 -55.95		
 25.05   	 -50.86		 44.84   	 -50.86		
 24.84   	 -35.61		 44.64   	 -50.86		
 24.70   	 -10.17		 44.44   	 -40.69		
 24.66   	 -50.86		 44.27   	 -35.61		
 24.46   	-152.59		 44.13   	 -45.78		
 23.85   	 -91.56		 43.95   	 -45.78		
 23.48   	 -25.43		 43.76   	 -55.95		
 23.38   	   5.09		 43.54   	 -55.95		
 23.40   	  15.26		 43.32   	 -66.12		
 23.46   	  86.47		 43.05   	 -61.04		
 23.80   	 172.94		 42.81   	 -50.86		
 24.50   	 228.89		 42.60   	 -50.86		
 25.41   	 249.24		 42.40   	 -50.86		
 26.41   	 279.75		 42.20   	 -50.86		
 27.53   	 305.19		 41.99   	 -45.78		
 28.75   	 320.45		 41.81   	 -45.78		
 30.03   	 305.19		 41.63   	 -35.61		
 31.25   	 284.84		 41.49   	 -35.61		
 32.39   	 269.58		 41.34   	 -35.61		
 33.47   	 244.15		 41.20   	 -20.35		
 34.45   	 208.54		 41.12   	  -5.09		
 35.28   	 183.11		 41.10   	  20.35		
 36.01   	 162.77		 41.18   	  66.12		
 36.66   	 142.42		 41.44   	 127.16		
 37.23   	 116.99		 41.95   	 188.20		
 37.70   	 106.82		 42.71   	 259.41		
 38.13   	 101.73		 43.74   	 320.45		
 38.53   	 101.73		 45.03   	 361.14		
 38.94   	 106.82		 46.47   	 381.48		
 39.37   	 132.25		 48.00   	 417.09		
 39.90   	 137.33		 49.66   	 396.74		
 40.45   	 142.42		 51.25   	 381.48		
 41.02   	 147.51		 52.78   	 371.31		
 41.61   	 137.33		 54.26   	 381.48		
 42.16   	 132.25		 55.79   	 396.74		
 42.69   	 137.33		 57.38   	 432.35		
 43.23   	 127.16		 59.10   	 452.69		
 43.74   	 122.07		 60.92   	 462.87		
 44.23   	 101.73		 62.77   	 452.69		
 44.64   	  86.47		 64.58   	 432.35		
 44.98   	  76.30		 66.31   	 401.83		
 45.29   	  66.12		 67.91   	 356.05		
 45.55   	  50.86		 69.34   	 300.10		
 45.76   	  30.52		 70.54   	 249.24		
 45.88   	  20.35		 71.54   	 223.80		
 45.96   	  15.26		 72.43   	 203.46		
 46.02   	   5.09		 73.24   	 193.29		
 46.04(S)	   0.00		 74.02   	 162.77		
 46.04   	  -5.09		 74.67   	 127.16		
 46.02   	 -10.17		 75.18   	  96.64		
 45.98   	 -10.17		 75.56   	  55.95		
 45.94   	 -15.26		 75.79   	  20.35		
 45.88   	 -25.43		 75.87(S)	 -15.26		
 45.78   	 -25.43		 75.81   	 -50.86		
 45.68   	 -40.69		 75.60   	-116.99		
 45.51   	 -50.86		 75.14   	-122.07		
 45.31   	 -76.30		 74.65   	-132.25		
 45.00   	 -96.64		 74.12   	-132.25		
 44.62   	-111.90		 73.59   	-137.33		
 44.17   	-127.16		 73.04   	-142.42		
 43.66   	-157.68		 72.47   	-152.59		
 43.03   	-183.11		 71.86   	-157.68		
 42.30   	-203.46		 71.23   	-172.94		
 41.49   	-213.63		 70.54   	-172.94		
 40.63   	-172.94		 69.85   	-178.03		
 39.94   	-111.90		 69.14   	-188.20		
 39.49   	-101.73		 68.38   	-193.29		
 39.08   	 -91.56		 67.61   	-208.54		
 38.72   	 -71.21		 66.77   	-233.98		
 38.43   	 -35.61		 65.84   	-244.15		
 38.29   	 -15.26		 64.86   	-244.15		
 38.23   	 -15.26		 63.89   	-249.24		
 38.17   	 -25.43		 62.89   	-244.15		
 38.07   	 -40.69		 61.91   	-228.89		
 37.90   	 -66.12		 61.00   	-218.72		
 37.64   	 -86.47		 60.12   	-198.37		
 37.29   	-111.90		 59.33   	-183.11		
 36.85   	-111.90		 58.60   	-162.77		
 36.40   	 -81.38		 57.94   	-152.59		
 36.07   	 -86.47		 57.33   	-167.85		
 35.73   	-111.90		 56.66   	-167.85		
 35.28   	-116.99		 55.99   	-162.77		
 34.81   	 -86.47		 55.34   	-147.51		
 34.47   	 -66.12		 54.75   	-137.33		
 34.20   	 -50.86		 54.20   	-132.25		
 34.00   	 -50.86		 53.67   	-132.25		
 33.79   	 -30.52		 53.14   	-116.99		
 33.67   	  -5.09		 52.68   	-106.82		
 33.65   	   0.00		 52.25   	 -96.64		
 33.65   	  -5.09		 51.86   	 -81.38		
 33.63   	  -5.09		 51.54   	 -76.30		
 33.61   	 -15.26		 51.23   	 -71.21		
 33.55   	 -30.52		 50.95   	 -76.30		
 33.43   	 -40.69		 50.64   	 -71.21		
 33.27   	 -55.95		 50.36   	 -71.21		
 33.04   	 -66.12		 50.07   	 -66.12		
 32.78   	 -81.38		 49.81   	 -61.04		
 32.45   	 -91.56		 49.56   	 -50.86		
 32.09   	 -91.56		 49.36   	 -45.78		
 31.72   	 -91.56		 49.18   	 -45.78		
 31.35   	-101.73		 48.99   	 -45.78		
 30.95   	-101.73		 48.81   	 -50.86		
 30.54   	 -86.47		 48.61   	 -50.86		
 30.19   	 -66.12		 48.40   	 -45.78		
 29.93   	 -61.04		 48.22   	 -45.78		
 29.68   	 -50.86		 48.04   	 -35.61		
 29.48   	 -40.69		 47.89   	 -40.69		
 29.32   	 -30.52		 47.73   	 -45.78		
 29.20   	 -25.43		 47.55   	 -35.61		
 29.09   	 -45.78		 47.41   	 -30.52		
 28.91   	 -45.78		 47.28   	 -35.61		
 28.73   	 -40.69		 47.14   	 -40.69		
 28.57   	 -40.69		 46.98   	 -35.61		
 28.40   	 -35.61		 46.84   	 -35.61		
 28.26   	 -45.78		 46.69   	 -45.78		
 28.08   	 -50.86		 46.51   	 -55.95		
 27.87   	 -61.04		 46.29   	 -50.86		
 27.63   	 -66.12		 46.08   	 -50.86		
 27.37   	 -66.12		 45.88   	 -45.78		
 27.10   	 -45.78		 45.70   	 -40.69		
 26.92   	  -5.09		 45.53   	 -35.61		
 26.90   	  20.35		 45.39   	 -30.52		
 26.98   	 -15.26		 45.27   	 -30.52		
 26.92   	 -71.21		 45.15   	 -30.52		
 26.63   	-101.73		 45.03   	 -61.04		
 26.23   	 -91.56		 44.78   	 -61.04		
 25.86   	 -71.21		 44.54   	 -66.12		
 25.57   	 -40.69		 44.27   	 -61.04		
 25.41(D)	   5.09		 44.03   	 -61.04		
 25.43   	  86.47		 43.78   	 -55.95		
 25.78   	 157.68		 43.56   	 -50.86		
 26.41   	 198.37		 43.36   	 -40.69		
 27.20   	 249.24		 43.19   	 -40.69		
 28.20   	 305.19		 43.03   	 -45.78		
 29.42   	 335.71		 42.85   	 -50.86		
 30.76   	 340.79		 42.64   	 -40.69		
 32.13   	 335.71		 42.48   	 -45.78		
 33.47   	 325.53		 42.30   	 -35.61		
 34.77   	 300.10		 42.16   	 -25.43		
 35.97   	 269.58		 42.05   	 -10.17		
 37.05   	 233.98		 42.01(D)	  10.17		
 37.99   	 203.46		 42.05   	  55.95		
 38.80   	 172.94		 42.28   	 111.90		
 39.49   	 147.51		 42.73   	 167.85		
 40.08   	 116.99		 43.40   	 244.15		
 40.55   	  96.64		 44.37   	 320.45		
 40.94   	 106.82		 45.66   	 381.48		
 41.36   	  96.64		 47.18   	 401.83		
 41.75   	  91.56		 48.79   	 396.74		
 42.12   	 127.16		 50.38   	 422.18		
 42.62   	 137.33		 52.06   	 412.00		
 43.17   	 132.25		 53.71   	 396.74		
 43.70   	 137.33		 55.30   	 401.83		
 44.25   	 142.42		 56.91   	 417.09		
 44.82   	 142.42		 58.58   	 442.52		
 45.39   	 142.42		 60.35   	 473.04		
 45.96   	 132.25		 62.24   	 488.30		
 46.49   	 116.99		 64.19   	 483.21		
 46.96   	 111.90		 66.12   	 462.87		
 47.41   	  96.64		 67.98   	 422.18		
 47.79   	  81.38		 69.66   	 371.31		
 48.12   	  71.21		 71.15   	 310.27		
 48.40   	  66.12		 72.39   	 264.50		
 48.67   	  50.86		 73.45   	 244.15		
 48.87   	  40.69		 74.42   	 223.80		
 49.03   	  30.52		 75.32   	 198.37		
 49.16   	  20.35		 76.11   	 172.94		
 49.24   	  15.26		 76.81   	 127.16		
 49.30   	   5.09		 77.31   	  91.56		
 49.32(S)	  -5.09		 77.68   	  55.95		
 49.30   	 -10.17		 77.90   	  15.26		
 49.26   	 -15.26		 77.97(S)	 -20.35		
 49.20   	 -20.35		 77.88   	 -55.95		
 49.11   	 -35.61		 77.66   	 -76.30		
 48.97   	 -50.86		 77.35   	-122.07		
 48.77   	 -66.12		 76.87   	-127.16		
 48.50   	 -86.47		 76.36   	-137.33		
 48.16   	-116.99		 75.81   	-137.33		
 47.69   	-122.07		 75.26   	-147.51		
 47.20   	-142.42		 74.67   	-162.77		
 46.63   	-178.03		 74.02   	-172.94		
 45.92   	-213.63		 73.33   	-172.94		
 45.07   	-213.63		 72.63   	-172.94		
 44.21   	-178.03		 71.94   	-178.03		
 43.50   	-137.33		 71.23   	-188.20		
 42.95   	-122.07		 70.48   	-198.37		
 42.46   	-101.73		 69.68   	-203.46		
 42.05   	 -61.04		 68.87   	-213.63		
 41.81   	 -30.52		 68.02   	-218.72		
 41.69   	 -10.17		 67.14   	-233.98		
 41.65   	  10.17		 66.21   	-244.15		
 41.69   	   0.00		 65.23   	-249.24		
 41.69   	 -25.43		 64.23   	-244.15		
 41.59   	 -61.04		 63.26   	-239.06		
 41.34   	 -76.30		 62.30   	-228.89		
 41.04   	 -86.47		 61.38   	-208.54		
 40.69   	-101.73		 60.55   	-188.20		
 40.28   	-142.42		 59.80   	-167.85		
 39.72   	-152.59		 59.12   	-152.59		
 39.10   	 -91.56		 58.51   	-162.77		
 38.74   	-106.82		 57.86   	-157.68		
 38.31   	-127.16		 57.23   	-157.68		
 37.80   	-137.33		 56.60   	-157.68		
 37.25   	-116.99		 55.97   	-147.51		
 36.79   	 -96.64		 55.38   	-132.25		
 36.40   	 -71.21		 54.85   	-122.07		
 36.11   	 -45.78		 54.36   	-111.90		
 35.93   	 -25.43		 53.92   	-106.82		
