WITTCASE NUMBER: HA003085
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  LFA     	  LFA'		  RV     	  RV'		
 49.32   	 -40.69		 10.40   	  45.78		
 49.16   	 -35.61		 10.58   	  40.69		
 49.01   	 -35.61		 10.74   	  50.86		
 48.87   	 -30.52		 10.95   	  45.78		
 48.75   	 -40.69		 11.13   	  55.95		
 48.59   	 -35.61		 11.35   	  55.95		
 48.44   	 -25.43		 11.58   	  66.12		
 48.34   	 -30.52		 11.84   	  81.38		
 48.22   	 -40.69		 12.17   	 106.82		
 48.06   	 -35.61		 12.59   	 127.16		
 47.91   	 -25.43		 13.10   	 147.51		
 47.81   	 -30.52		 13.69   	 162.77		
 47.69   	 -35.61		 14.34   	 167.85		
 47.55   	 -35.61		 15.02   	 198.37		
 47.41   	 -30.52		 15.81   	 188.20		
 47.28   	 -40.69		 16.56   	 198.37		
 47.12   	 -40.69		 17.35   	 203.46		
 46.96   	 -40.69		 18.17   	 223.80		
 46.80   	 -30.52		 19.06   	 239.06		
 46.67   	 -30.52		 20.02   	 249.24		
 46.55   	 -35.61		 21.02   	 249.24		
 46.41   	 -40.69		 22.01   	 254.32		
 46.25   	 -30.52		 23.03   	 249.24		
 46.12   	 -30.52		 24.03   	 249.24		
 46.00   	 -35.61		 25.03   	 249.24		
 45.86   	 -25.43		 26.02   	 244.15		
 45.76   	 -30.52		 27.00   	 239.06		
 45.64   	 -30.52		 27.96   	 233.98		
 45.51   	 -15.26		 28.89   	 228.89		
 45.45   	 -10.17		 29.81   	 208.54		
 45.41   	 -10.17		 30.64   	 198.37		
 45.37   	   5.09		 31.43   	 188.20		
 45.39   	  40.69		 32.19   	 172.94		
 45.55   	  50.86		 32.88   	 157.68		
 45.76   	  66.12		 33.51   	 137.33		
 46.02   	  96.64		 34.06   	 122.07		
 46.41   	 116.99		 34.55   	 106.82		
 46.88   	 147.51		 34.97   	  91.56		
 47.47   	 183.11		 35.34   	  66.12		
 48.20   	 213.63		 35.61   	  55.95		
 49.05   	 233.98		 35.83   	  35.61		
 49.99   	 259.41		 35.97   	  20.35		
 51.03   	 295.01		 36.05(S)	   0.00		
 52.21   	 325.53		 36.05   	 -10.17		
 53.51   	 335.71		 36.01   	 -20.35		
 54.85   	 350.97		 35.93   	 -40.69		
 56.26   	 376.40		 35.77   	 -50.86		
 57.76   	 396.74		 35.56   	 -66.12		
 59.35   	 401.83		 35.30   	 -76.30		
 60.96   	 401.83		 34.99   	 -81.38		
 62.56   	 396.74		 34.67   	 -91.56		
 64.15   	 396.74		 34.30   	-101.73		
 65.74   	 396.74		 33.90   	-111.90		
 67.32   	 381.48		 33.45   	-111.90		
 68.85   	 356.05		 33.00   	-122.07		
 70.27   	 345.88		 32.51   	-122.07		
 71.66   	 320.45		 32.02   	-122.07		
