WITTCASE NUMBER: HB002011
SAMPLE NUMBER:   24
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 61.46   	 -86.47		 10.15   	 101.73		
 61.12   	 -86.47		 10.56   	  91.56		
 60.77   	 -71.21		 10.93   	  96.64		
 60.49   	 -66.12		 11.31   	  91.56		
 60.22   	 -81.38		 11.68   	  61.04		
 59.90   	 -76.30		 11.92   	  20.35		
 59.59   	 -76.30		 12.00   	 -20.35		
 59.29   	 -86.47		 11.92   	 -40.69		
 58.94   	 -76.30		 11.76   	 -71.21		
 58.64   	 -50.86		 11.48   	 -55.95		
 58.43   	 -55.95		 11.25   	 -50.86		
 58.21   	 -76.30		 11.05   	-111.90		
 57.90   	 -76.30		 10.60   	-233.98		
 57.60   	 -76.30		  9.66   	-315.36		
 57.29   	 -76.30		  8.40   	-295.01		
 56.99   	 -81.38		  7.22   	-183.11		
 56.66   	 -81.38		  6.49   	 -55.95		
 56.34   	 -81.38		  6.27   	  40.69		
 56.01   	 -66.12		  6.43   	 122.07		
 55.75   	 -50.86		  6.92   	 188.20		
 55.54   	 -40.69		  7.67   	 239.06		
 55.38   	 -35.61		  8.63   	 259.41		
 55.24   	 -40.69		  9.66   	 239.06		
 55.08   	 -45.78		 10.62   	 193.29		
 54.89   	 -45.78		 11.39   	 142.42		
 54.71   	 -45.78		 11.96   	 111.90		
 54.53   	 -40.69		 12.41   	 111.90		
 54.36   	 -45.78		 12.86   	 111.90		
 54.18   	 -35.61		 13.31   	  91.56		
 54.04   	 -40.69		 13.67   	  61.04		
 53.88   	 -40.69		 13.92   	  55.95		
 53.71   	 -50.86		 14.14(E)	  86.47		
 53.51   	 -50.86		 14.49   	 132.25		
 53.31   	 -35.61		 15.02   	 183.11		
 53.16   	 -40.69		 15.75   	 244.15		
 53.00   	 -40.69		 16.72   	 295.01		
 52.84   	 -55.95		 17.90   	 356.05		
 52.61   	 -50.86		 19.33   	 396.74		
 52.41   	 -55.95		 20.92   	 406.92		
 52.19   	 -45.78		 22.54   	 437.43		
 52.00   	 -25.43		 24.29   	 523.90		
 51.90   	 -15.26		 26.39   	 549.34		
 51.84   	 -30.52		 28.59   	 483.21		
 51.72   	 -45.78		 30.52   	 391.66		
 51.54   	 -25.43		 32.09   	 345.88		
 51.43   	  -5.09		 33.47   	 330.62		
 51.41   	 -15.26		 34.79   	 310.27		
 51.35   	 -40.69		 36.03   	 289.93		
 51.19   	 -30.52		 37.19   	 279.75		
 51.07   	 -35.61		 38.31   	 264.50		
 50.93   	 -35.61		 39.37   	 249.24		
 50.78   	 -35.61		 40.37   	 249.24		
 50.64   	 -10.17		 41.36   	 264.50		
 50.60   	 -10.17		 42.42   	 295.01		
 50.56   	 -40.69		 43.60   	 274.67		
 50.40   	 -50.86		 44.70   	 198.37		
 50.19   	 -55.95		 45.49   	 116.99		
 49.97   	 -50.86		 45.96   	  50.86		
 49.77   	 -50.86		 46.16   	  10.17		
 49.56   	 -25.43		 46.21   	  10.17		
 49.46   	  20.35		 46.25   	  45.78		
 49.54   	  61.04		 46.43   	 111.90		
 49.79   	 127.16		 46.88   	 193.29		
 50.29   	 198.37		 47.65   	 279.75		
 51.09   	 259.41		 48.77   	 376.40		
 52.13   	 310.27		 50.27   	 422.18		
 53.37   	 417.09		 51.96   	 335.71		
 55.04   	 432.35		 53.31   	 233.98		
 56.76   	 442.52		 54.24   	 137.33		
 58.53   	 427.26		 54.79   	  20.35		
 60.24   	 412.00		 54.87(S)	 -91.56		
 61.89   	 396.74		 54.51   	-162.77		
 63.48   	 376.40		 53.86   	-183.11		
 64.98   	 356.05		 53.12   	-188.20		
 66.41   	 350.97		 52.37   	-208.54		
 67.81   	 345.88		 51.54   	-228.89		
 69.20   	 340.79		 50.62   	-218.72		
 70.56   	 350.97		 49.75   	-193.29		
 71.96   	 356.05		 48.97   	-157.68		
 73.39   	 335.71		 48.34   	-142.42		
 74.73   	 315.36		 47.77   	-122.07		
 75.99   	 305.19		 47.28   	 -86.47		
 77.21   	 305.19		 46.94   	 -61.04		
 78.43   	 305.19		 46.69   	 -50.86		
 79.65   	 310.27		 46.49   	 -76.30		
 80.89   	 300.10		 46.18   	-106.82		
 82.10   	 264.50		 45.76   	-142.42		
 83.15   	 249.24		 45.19   	-127.16		
 84.15   	 249.24		 44.68   	 -81.38		
 85.15   	 249.24		 44.35   	 -66.12		
 86.14   	 233.98		 44.09   	 -76.30		
 87.08   	 249.24		 43.78   	-106.82		
 88.08   	 228.89		 43.36   	-116.99		
 88.99   	 213.63		 42.89   	-132.25		
 89.85   	 198.37		 42.36   	-152.59		
 90.64   	 172.94		 41.75   	-167.85		
 91.33   	 147.51		 41.08   	-172.94		
 91.92   	 127.16		 40.39   	-178.03		
 92.43   	 101.73		 39.67   	-198.37		
 92.84   	  76.30		 38.88   	-218.72		
 93.14   	  40.69		 38.01   	-218.72		
 93.31   	  30.52		 37.13   	-233.98		
 93.43   	  20.35		 36.20   	-254.32		
 93.51   	   5.09		 35.18   	-295.01		
 93.53(S)	 -20.35		 34.00   	-350.97		
 93.45   	 -50.86		 32.59   	-396.74		
 93.24   	 -71.21		 31.01   	-432.35		
 92.96   	 -91.56		 29.28   	-437.43		
 92.59   	 -91.56		 27.53   	-442.52		
 92.23   	 -96.64		 25.76   	-437.43		
 91.84   	-101.73		 24.01   	-417.09		
 91.43   	-101.73		 22.34   	-396.74		
 91.03   	-101.73		 20.75   	-366.22		
 90.62   	-111.90		 19.29   	-335.71		
 90.17   	-116.99		 17.94   	-305.19		
 89.70   	-127.16		 16.72   	-284.84		
 89.20   	-183.11		 15.58   	-289.93		
 88.46   	-198.37		 14.43   	-279.75		
 87.67   	-208.54		 13.31   	-284.84		
 86.84   	-208.54		 12.17   	-284.84		
 86.00   	-203.46		 11.03   	-259.41		
 85.19   	-198.37		  9.99   	-218.72		
 84.39   	-188.20		  9.11   	-193.29		
 83.64   	-183.11		  8.34   	-162.77		
 82.91   	-183.11		  7.69   	-142.42		
 82.18   	-188.20		  7.12   	-127.16		
 81.42   	-188.20		  6.61   	-116.99		
 80.67   	-178.03		  6.14   	-111.90		
 79.96   	-172.94		  5.70   	-111.90		
 79.27   	-167.85		  5.25   	 -96.64		
 78.60   	-162.77		  4.86   	 -66.12		
 77.94   	-162.77		  4.60   	 -45.78		
 77.29   	-167.85		  4.42   	 -35.61		
 76.62   	-162.77		  4.27   	 -45.78		
 75.97   	-167.85		  4.09   	 -35.61		
 75.30   	-162.77		  3.95   	 -25.43		
 74.65   	-167.85		  3.85   	  -5.09		
 73.98   	-157.68		  3.83(D)	  15.26		
 73.35   	-152.59		  3.89   	  20.35		
 72.74   	-142.42		  3.97   	  30.52		
 72.17   	-137.33		  4.09   	  45.78		
 71.62   	-152.59		  4.27   	  71.21		
 71.01   	-152.59		  4.56   	  71.21		
 70.40   	-147.51		  4.84   	  76.30		
 69.81   	-142.42		  5.15   	  66.12		
 69.24   	-142.42		  5.41   	  71.21		
 68.67   	-132.25		  5.70   	  76.30		
 68.14   	-127.16		  6.00   	  66.12		
 67.63   	-132.25		  6.27   	  55.95		
 67.10   	-122.07		  6.49   	  40.69		
 66.61   	-116.99		  6.65   	  20.35		
 66.14   	-111.90		  6.73   	  20.35		
 65.70   	-116.99		  6.82   	  25.43		
 65.23   	-111.90		  6.92   	  35.61		
 64.78   	-111.90		  7.06   	  45.78		
 64.33   	-111.90		  7.24   	  45.78		
 63.89   	-101.73		  7.43   	  40.69		
 63.48   	 -96.64		  7.59   	  45.78		
 63.09   	 -91.56		  7.77   	  50.86		
 62.73   	 -91.56		  7.98   	  55.95		
 62.36   	 -86.47		  8.20   	  55.95		
