WITTCASE NUMBER: HA002423
SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
  8.04   	-106.82		 51.56   	 -50.86		
  7.61   	-111.90		 51.35   	 -45.78		
  7.16   	 -96.64		 51.17   	 -45.78		
  6.78   	 -61.04		 50.99   	 -45.78		
  6.53   	 -10.17		 50.80   	 -50.86		
  6.49   	  35.61		 50.60   	 -50.86		
  6.63   	 101.73		 50.40   	 -45.78		
  7.04   	 157.68		 50.21   	 -40.69		
  7.67   	 228.89		 50.05   	 -40.69		
  8.59   	 269.58		 49.89   	 -40.69		
  9.66   	 305.19		 49.73   	 -35.61		
 10.89   	 350.97		 49.58   	 -30.52		
 12.29   	 381.48		 49.46   	 -35.61		
 13.81   	 376.40		 49.32   	 -35.61		
 15.32   	 381.48		 49.18   	 -40.69		
 16.85   	 422.18		 49.01   	 -40.69		
 18.54   	 442.52		 48.85   	 -45.78		
 20.31   	 503.56		 48.67   	 -50.86		
 22.32   	 498.47		 48.46   	 -50.86		
 24.31   	 503.56		 48.26   	 -40.69		
 26.33   	 513.73		 48.10   	 -40.69		
 28.38   	 518.82		 47.93   	 -30.52		
 30.46   	 427.26		 47.81   	 -30.52		
 32.17   	 289.93		 47.69   	 -35.61		
 33.33   	 239.06		 47.55   	 -35.61		
 34.28   	 259.41		 47.41   	 -35.61		
 35.32   	 228.89		 47.26   	 -40.69		
 36.24   	 213.63		 47.10   	 -50.86		
 37.09   	 233.98		 46.90   	 -45.78		
 38.03   	 228.89		 46.71   	 -50.86		
 38.94   	 193.29		 46.51   	 -45.78		
 39.72   	 142.42		 46.33   	 -35.61		
 40.28   	  35.61		 46.18   	 -35.61		
 40.43   	 -76.30		 46.04   	 -30.52		
 40.12   	-122.07		 45.92   	 -25.43		
 39.63   	-147.51		 45.82   	 -20.35		
 39.04   	-198.37		 45.74   	 -20.35		
 38.25   	-213.63		 45.66   	 -15.26		
 37.40   	-162.77		 45.59   	 -20.35		
 36.74   	 -66.12		 45.51   	 -15.26		
 36.48   	  71.21		 45.45   	 -10.17		
 36.76   	 233.98		 45.41   	   0.00		
 37.70   	 442.52		 45.41   	  35.61		
 39.47   	 467.95		 45.55   	  61.04		
 41.34   	 488.30		 45.80   	  86.47		
 43.30   	 488.30		 46.14   	 122.07		
 45.25   	 478.13		 46.63   	 157.68		
 47.16   	 447.61		 47.26   	 203.46		
 48.95   	 406.92		 48.08   	 249.24		
 50.58   	 330.62		 49.07   	 305.19		
 51.90   	 244.15		 50.29   	 356.05		
 52.88   	 147.51		 51.72   	 412.00		
 53.47   	  81.38		 53.37   	 462.87		
 53.79   	  40.69		 55.22   	 508.65		
 53.96   	  10.17		 57.25   	 554.42		
 54.00   	   5.09		 59.47   	 579.86		
 54.02   	  15.26		 61.79   	 600.20		
 54.08   	  25.43		 64.19   	 595.11		
 54.18   	  61.04		 66.57   	 574.77		
 54.43   	 111.90		 68.87   	 534.08		
 54.87   	 142.42		 71.01   	 488.30		
 55.44   	 157.68		 72.96   	 442.52		
 56.07   	 193.29		 74.73   	 381.48		
 56.85   	 218.72		 76.26   	 325.53		
 57.72   	 233.98		 77.56   	 274.67		
 58.66   	 218.72		 78.66   	 223.80		
 59.53   	 188.20		 79.55   	 183.11		
 60.28   	 111.90		 80.28   	 132.25		
 60.73   	  86.47		 80.81   	 106.82		
 61.08   	  45.78		 81.24   	  81.38		
 61.26(S)	 -20.35		 81.57   	  55.95		
 61.18   	 -66.12		 81.79   	  30.52		
 60.92   	 -76.30		 81.91   	  15.26		
 60.61   	 -55.95		 81.97(S)	 -10.17		
 60.39   	 -61.04		 81.93   	 -25.43		
 60.14   	-116.99		 81.83   	 -50.86		
 59.67   	-178.03		 81.63   	 -66.12		
 58.96   	-178.03		 81.36   	 -91.56		
 58.25   	-188.20		 81.00   	-106.82		
 57.50   	-274.67		 80.57   	-122.07		
 56.40   	-381.48		 80.08   	-132.25		
 54.87   	-376.40		 79.55   	-137.33		
 53.37   	-295.01		 79.00   	-142.42		
 52.19   	-249.24		 78.43   	-147.51		
 51.19   	-295.01		 77.84   	-152.59		
 50.01   	-340.79		 77.23   	-152.59		
 48.65   	-325.53		 76.62   	-157.68		
 47.34   	-254.32		 75.99   	-147.51		
 46.33   	 -86.47		 75.40   	-152.59		
 45.98   	 183.11		 74.79   	-152.59		
 46.71   	 452.69		 74.18   	-152.59		
 48.52   	 513.73		 73.57   	-157.68		
 50.58   	 406.92		 72.94   	-157.68		
 52.21   	 350.97		 72.31   	-152.59		
 53.61   	 300.10		 71.70   	-157.68		
 54.81   	 203.46		 71.07   	-157.68		
 55.63   	  81.38		 70.44   	-162.77		
 55.95   	 -45.78		 69.79   	-162.77		
 55.77   	-172.94		 69.14   	-162.77		
 55.08   	-274.67		 68.48   	-167.85		
 53.98   	-345.88		 67.81   	-162.77		
 52.59   	-381.48		 67.16   	-162.77		
 51.07   	-417.09		 66.51   	-152.59		
 49.40   	-462.87		 65.90   	-157.68		
 47.55   	-508.65		 65.27   	-147.51		
 45.51   	-620.55		 64.68   	-147.51		
 43.03   	-895.22		 64.09   	-147.51		
 39.45   	-1083.41		 63.50   	-147.51		
 35.12   	-986.77		 62.91   	-137.33		
 31.17   	-844.35		 62.36   	-137.33		
 27.79   	-813.83		 61.81   	-127.16		
 24.54   	-818.92		 61.30   	-127.16		
 21.26   	-808.75		 60.79   	-122.07		
 18.03   	-737.54		 60.30   	-116.99		
 15.08   	-620.55		 59.84   	-106.82		
 12.59   	-523.90		 59.41   	-101.73		
 10.50   	-437.43		 59.00   	 -96.64		
  8.75   	-350.97		 58.62   	 -86.47		
  7.34   	-279.75		 58.27   	 -81.38		
  6.23   	-310.27		 57.94   	 -71.21		
  4.98   	-386.57		 57.66   	 -55.95		
  3.44   	-295.01		 57.44   	 -50.86		
  2.26   	 -96.64		 57.23   	 -40.69		
  1.87(D)	  40.69		 57.07   	 -30.52		
  2.03   	 106.82		 56.95   	 -20.35		
  2.46   	 116.99		 56.87   	 -20.35		
  2.93   	 106.82		 56.79   	 -10.17		
  3.36   	 106.82		 56.74   	 -10.17		
  3.78   	 122.07		 56.70   	  -5.09		
  4.27   	 111.90		 56.68   	   5.09		
  4.72   	  81.38		 56.70   	  10.17		
  5.05   	  25.43		 56.74   	  10.17		
  5.15   	 -15.26		 56.79   	  10.17		
  5.09   	 -35.61		 56.83   	  15.26		
  4.94   	 -50.86		 56.89   	  15.26		
  4.74   	 -61.04		 56.95   	  20.35		
  4.50   	 -55.95		 57.03   	  15.26		
  4.27   	 -61.04		 57.09   	  10.17		
  4.03   	 -55.95		 57.13   	  10.17		
  3.80   	 -40.69		 57.17   	  15.26		
  3.64   	 -10.17		 57.23   	  10.17		
  3.60   	  10.17		 57.27   	  10.17		
  3.64   	  20.35		 57.31   	   5.09		
  3.72   	  25.43		 57.33   	   5.09		
  3.83   	  35.61		 57.35   	   5.09		
  3.97   	  40.69		 57.38   	  -5.09		
  4.13   	  40.69		 57.35   	  -5.09		
  4.29   	  35.61		 57.33   	  -5.09		
  4.44   	  30.52		 57.31   	  -5.09		
  4.56   	  10.17		 57.29   	 -10.17		
  4.60   	  -5.09		 57.25   	 -15.26		
  4.58   	 -10.17		 57.19   	 -15.26		
