WITTCASE NUMBER: HB001757
SAMPLE NUMBER:   45
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 66.25   	-223.80		132.43   	-233.98		
 65.35   	-274.67		131.49   	-239.06		
 64.25   	-320.45		130.54   	-254.32		
 62.97   	-366.22		129.52   	-274.67		
 61.51   	-422.18		128.42   	-300.10		
 59.82   	-595.11		127.22   	-340.79		
 57.44   	-661.24		125.86   	-335.71		
 54.79   	-742.62		124.52   	-325.53		
 51.82   	-803.66		123.21   	-310.27		
 48.61   	-824.00		121.97   	-310.27		
 45.31   	-824.00		120.73   	-315.36		
 42.01   	-824.00		119.47   	-315.36		
 38.72   	-808.75		118.21   	-320.45		
 35.48   	-803.66		116.93   	-330.62		
 32.27   	-768.05		115.60   	-325.53		
 29.20   	-727.36		114.30   	-325.53		
 26.29   	-681.58		113.00   	-320.45		
 23.56   	-620.55		111.72   	-315.36		
 21.08   	-574.77		110.46   	-305.19		
 18.78   	-513.73		109.24   	-295.01		
 16.72   	-462.87		108.06   	-284.84		
 14.87   	-422.18		106.92   	-269.58		
 13.18   	-371.31		105.84   	-249.24		
 11.70   	-320.45		104.84   	-239.06		
 10.42   	-279.75		103.89   	-218.72		
  9.30   	-249.24		103.01   	-198.37		
  8.30   	-233.98		102.22   	-193.29		
  7.37   	-198.37		101.44   	-188.20		
  6.57   	-147.51		100.69   	-183.11		
  5.98   	-106.82		 99.96   	-178.03		
  5.55   	 -76.30		 99.25   	-172.94		
  5.25   	 -50.86		 98.56   	-172.94		
  5.05   	 -10.17		 97.86   	-162.77		
  5.01(D)	  50.86		 97.21   	-157.68		
  5.21   	 106.82		 96.58   	-147.51		
  5.64   	 122.07		 95.99   	-137.33		
  6.12   	 137.33		 95.44   	-137.33		
  6.67   	 147.51		 94.89   	-127.16		
  7.26   	 147.51		 94.38   	-122.07		
  7.85   	 142.42		 93.90   	-122.07		
  8.42   	 152.59		 93.41   	-111.90		
  9.03   	 157.68		 92.96   	-116.99		
  9.66   	 162.77		 92.49   	-106.82		
 10.32   	 157.68		 92.06   	-101.73		
 10.95   	 147.51		 91.66   	-101.73		
 11.54   	 137.33		 91.25   	 -96.64		
 12.09   	 122.07		 90.86   	 -91.56		
 12.57   	 116.99		 90.50   	 -91.56		
 13.04   	 152.59		 90.13   	 -91.56		
 13.65   	 172.94		 89.77   	 -91.56		
 14.34   	 157.68		 89.40   	 -96.64		
 14.97   	  71.21		 89.01   	 -86.47		
 15.26   	  40.69		 88.67   	 -86.47		
 15.42   	 137.33		 88.32   	 -86.47		
 15.97   	 259.41		 87.98   	 -81.38		
 17.01   	 269.58		 87.65   	 -81.38		
 18.09   	 249.24		 87.32   	 -81.38		
 19.08   	 239.06		 87.00   	 -86.47		
 20.04   	 188.20		 86.65   	 -91.56		
 20.79   	 142.42		 86.29   	 -91.56		
 21.36   	 127.16		 85.92   	 -91.56		
 21.87   	 137.33		 85.55   	 -81.38		
 22.42   	 137.33		 85.23   	 -81.38		
 22.97   	 147.51		 84.90   	 -76.30		
 23.56   	 167.85		 84.60   	 -81.38		
 24.23   	 162.77		 84.27   	 -81.38		
 24.88   	 152.59		 83.95   	 -81.38		
 25.49(E)	 147.51		 83.62   	 -76.30		
 26.08   	 147.51		 83.32   	 -86.47		
 26.67   	 137.33		 82.97   	 -81.38		
 27.22   	 142.42		 82.64   	 -76.30		
 27.79   	 147.51		 82.34   	 -81.38		
 28.38   	 147.51		 82.01   	 -71.21		
 28.97   	 142.42		 81.73   	 -76.30		
 29.54   	 127.16		 81.42   	 -71.21		
 30.05   	  91.56		 81.14   	 -71.21		
 30.42   	  55.95		 80.85   	 -71.21		
 30.64   	  40.69		 80.57   	 -71.21		
 30.80   	  86.47		 80.28   	 -71.21		
 31.15   	 132.25		 80.00   	 -76.30		
 31.68   	 137.33		 79.69   	 -76.30		
 32.23   	 274.67		 79.39   	 -81.38		
 33.33   	 503.56		 79.06   	 -71.21		
 35.34   	 590.03		 78.78   	 -71.21		
 37.70   	 610.37		 78.49   	 -61.04		
 40.14   	 701.93		 78.25   	 -61.04		
 42.95   	 788.40		 78.01   	 -50.86		
 46.10   	 788.40		 77.80   	 -50.86		
 49.26   	 757.88		 77.60   	 -50.86		
 52.29   	 696.84		 77.40   	 -66.12		
 55.08   	 513.73		 77.13   	 -76.30		
 57.13   	 361.14		 76.83   	 -76.30		
 58.58   	 284.84		 76.52   	 -76.30		
 59.71   	 259.41		 76.22   	 -86.47		
 60.75   	 249.24		 75.87   	 -81.38		
 61.75   	 249.24		 75.54   	 -76.30		
 62.75   	 239.06		 75.24   	 -66.12		
 63.70   	 218.72		 74.97   	 -55.95		
 64.58   	 183.11		 74.75   	 -45.78		
 65.31   	 147.51		 74.57   	 -40.69		
 65.90   	 137.33		 74.40   	 -40.69		
 66.45   	 122.07		 74.24   	 -40.69		
 66.94   	 116.99		 74.08   	 -40.69		
 67.41   	 111.90		 73.92   	 -35.61		
 67.85   	 111.90		 73.77   	 -15.26		
 68.30   	 101.73		 73.71(D)	  15.26		
 68.71   	  91.56		 73.77   	  96.64		
 69.07   	  86.47		 74.16   	 239.06		
 69.42   	  81.38		 75.12   	 478.13		
 69.75   	  76.30		 77.03   	 742.62		
 70.05   	  71.21		 80.00   	 946.08		
 70.34   	  55.95		 83.78   	1012.20		
 70.56   	  50.86		 87.83   	 935.91		
 70.76   	  30.52		 91.58   	 732.45		
 70.88(S)	 -35.61		 94.51   	 386.57		
 70.74   	 -81.38		 96.05   	 340.79		
 70.42   	-132.25		 97.42   	 391.66		
 69.89   	-178.03		 98.98   	 513.73		
 69.18   	-239.06		101.04   	 640.89		
 68.22   	-279.75		103.60   	 722.28		
 67.10   	-335.71		106.49   	 742.62		
 65.76   	-401.83		109.46   	 701.93		
 64.15   	-447.61		112.27   	 635.81		
 62.36   	-483.21		114.81   	 564.60		
 60.43   	-528.99		117.07   	 513.73		
 58.31   	-569.68		119.12   	 483.21		
 56.03   	-584.94		121.06   	 467.95		
 53.69   	-600.20		122.93   	 452.69		
 51.29   	-605.29		124.74   	 422.18		
 48.87   	-615.46		126.43   	 361.14		
 46.41   	-620.55		127.87   	 295.01		
 43.93   	-610.37		129.05   	 213.63		
 41.49   	-605.29		129.91   	 132.25		
 39.06   	-590.03		130.44   	  45.78		
 36.70   	-574.77		130.62(S)	 -25.43		
 34.40   	-554.42		130.52   	 -91.56		
 32.19   	-513.73		130.15   	-142.42		
 30.13   	-483.21		129.58   	-188.20		
 28.20   	-457.78		128.83   	-244.15		
 26.37   	-457.78		127.85   	-361.14		
 24.54   	-427.26		126.41   	-381.48		
 22.83   	-396.74		124.88   	-391.66		
 21.24   	-371.31		123.32   	-396.74		
 19.76   	-345.88		121.73   	-396.74		
 18.37   	-315.36		120.14   	-412.00		
 17.11   	-295.01		118.49   	-427.26		
 15.93   	-274.67		116.78   	-427.26		
 14.83   	-249.24		115.08   	-422.18		
 13.84   	-223.80		113.39   	-422.18		
 12.94   	-198.37		111.70   	-401.83		
 12.15   	-178.03		110.09   	-381.48		
 11.43   	-152.59		108.57   	-350.97		
 10.82   	-116.99		107.16   	-315.36		
 10.36   	 -81.38		105.90   	-295.01		
 10.03   	 -61.04		104.72   	-279.75		
  9.79   	 -61.04		103.60   	-264.50		
  9.54   	 -61.04		102.54   	-254.32		
  9.30   	 -55.95		101.53   	-249.24		
  9.07   	 -45.78		100.53   	-239.06		
  8.89   	 -45.78		 99.57   	-228.89		
  8.71   	 -45.78		 98.66   	-218.72		
  8.52   	 -35.61		 97.78   	-213.63		
  8.38   	 -30.52		 96.93   	-198.37		
  8.26   	 -15.26		 96.13   	-183.11		
  8.20   	  -5.09		 95.40   	-172.94		
  8.18(D)	  15.26		 94.71   	-167.85		
  8.24   	  25.43		 94.04   	-157.68		
  8.34   	  61.04		 93.41   	-157.68		
  8.59   	  96.64		 92.78   	-142.42		
  8.97   	 111.90		 92.21   	-142.42		
  9.42   	 111.90		 91.64   	-132.25		
  9.87   	 111.90		 91.11   	-122.07		
 10.32   	 111.90		 90.62   	-111.90		
 10.76   	 111.90		 90.17   	-106.82		
 11.21   	  91.56		 89.75   	 -96.64		
 11.58   	  76.30		 89.36   	 -96.64		
 11.88   	  35.61		 88.97   	 -96.64		
 12.02   	 -20.35		 88.59   	 -96.64		
 11.94   	 -40.69		 88.20   	 -91.56		
 11.78   	 -50.86		 87.83   	 -86.47		
 11.58   	 -61.04		 87.49   	 -81.38		
 11.33   	 -66.12		 87.16   	 -76.30		
 11.07   	 -71.21		 86.86   	 -76.30		
 10.78   	 -61.04		 86.55   	 -76.30		
 10.54   	 -50.86		 86.25   	 -66.12		
 10.34   	 -15.26		 85.98   	 -61.04		
 10.27   	  25.43		 85.74   	 -61.04		
 10.38   	  50.86		 85.49   	 -71.21		
 10.58   	  66.12		 85.21   	 -66.12		
 10.84   	  71.21		 84.94   	 -71.21		
 11.13   	  81.38		 84.66   	 -66.12		
 11.45   	  71.21		 84.39   	 -71.21		
 11.74   	  66.12		 84.11   	 -66.12		
 12.00   	  55.95		 83.85   	 -71.21		
 12.23   	  55.95		 83.56   	 -66.12		
 12.45   	  61.04		 83.30   	 -66.12		
 12.70   	  61.04		 83.03   	 -71.21		
 12.94   	  71.21		 82.75   	 -71.21		
 13.22   	  81.38		 82.46   	 -76.30		
 13.55   	  91.56		 82.16   	 -76.30		
 13.92   	  96.64		 81.85   	 -71.21		
 14.30   	 101.73		 81.57   	 -71.21		
 14.71   	  96.64		 81.28   	 -71.21		
 15.10   	  96.64		 81.00   	 -71.21		
 15.48   	  86.47		 80.71   	 -71.21		
 15.83   	  81.38		 80.43   	 -71.21		
 16.15   	  86.47		 80.14   	 -71.21		
 16.50   	  86.47		 79.86   	 -71.21		
 16.85   	  86.47		 79.57   	 -76.30		
 17.19   	  76.30		 79.27   	 -66.12		
 17.50   	  66.12		 79.00   	 -71.21		
 17.76   	  61.04		 78.72   	 -76.30		
 18.01   	  35.61		 78.41   	 -76.30		
 18.15   	  10.17		 78.11   	 -81.38		
 18.19   	 -10.17		 77.78   	 -81.38		
 18.15   	   0.00		 77.46   	 -76.30		
 18.15   	  10.17		 77.15   	 -71.21		
 18.19   	  10.17		 76.87   	 -71.21		
 18.23   	 -20.35		 76.58   	 -71.21		
 18.15   	 -81.38		 76.30   	 -76.30		
 17.82   	-111.90		 75.99   	 -81.38		
 17.38   	-122.07		 75.67   	 -81.38		
 16.89   	-137.33		 75.34   	 -71.21		
 16.34   	-172.94		 75.06   	 -81.38		
 15.65   	-172.94		 74.73   	 -66.12		
 14.95   	-142.42		 74.47   	 -61.04		
 14.38   	-111.90		 74.22   	 -61.04		
 13.94   	-111.90		 73.98   	 -61.04		
 13.49   	-101.73		 73.73   	 -66.12		
 13.08   	 -86.47		 73.47   	 -66.12		
 12.74   	 -55.95		 73.20   	 -66.12		
 12.51(E)	  -5.09		 72.94   	 -71.21		
 12.49   	  25.43		 72.65   	 -71.21		
 12.59   	  15.26		 72.37   	 -71.21		
 12.66   	  15.26		 72.09   	 -76.30		
 12.72   	  30.52		 71.78   	 -71.21		
 12.84   	  35.61		 71.50   	 -66.12		
 12.98   	  35.61		 71.23   	 -61.04		
 13.12   	  45.78		 70.99   	 -61.04		
 13.31   	  61.04		 70.74   	 -61.04		
 13.55   	  76.30		 70.50   	 -61.04		
 13.86   	  86.47		 70.25   	 -61.04		
 14.20   	  81.38		 70.01   	 -61.04		
 14.53   	 111.90		 69.77   	 -50.86		
 14.97   	 167.85		 69.56   	 -50.86		
 15.65   	 264.50		 69.36   	 -40.69		
 16.70   	 371.31		 69.20   	 -50.86		
 18.19   	 401.83		 68.99   	 -50.86		
 19.80   	 457.78		 68.79   	 -55.95		
 21.63   	 645.98		 68.57   	 -66.12		
 24.21   	 793.49		 68.30   	 -55.95		
 27.39   	 813.83		 68.08   	 -45.78		
 30.64   	 854.52		 67.89   	 -35.61		
 34.06   	 940.99		 67.75   	 -35.61		
 37.82   	 951.17		 67.61   	 -35.61		
 41.63   	 859.61		 67.47   	 -40.69		
 45.07   	 752.79		 67.30   	 -45.78		
 48.08   	 701.93		 67.12   	 -35.61		
 50.88   	 651.07		 66.98   	 -30.52		
 53.49   	 539.16		 66.86   	 -20.35		
 55.65   	 437.43		 66.77   	  -5.09		
 57.40   	 391.66		 66.75(D)	  35.61		
 58.96   	 366.22		 66.90   	 178.03		
 60.43   	 300.10		 67.61   	 503.56		
 61.63   	 213.63		 69.62   	 966.43		
 62.48   	 142.42		 73.49   	1322.48		
 63.05   	  81.38		 78.78   	1439.47		
 63.38   	  25.43		 84.54   	1358.08		
 63.48   	 -25.43		 89.97   	1052.90		
 63.38   	 -50.86		 94.18   	 630.72		
 63.17   	 -61.04		 96.70   	 335.71		
 62.93   	 -40.69		 98.05   	 249.24		
 62.77   	 -20.35		 99.04   	 325.53		
 62.69   	  -5.09		100.35   	 503.56		
 62.67   	  25.43		102.36   	 696.84		
 62.77   	  71.21		105.15   	 834.18		
 63.05   	  96.64		108.48   	 905.39		
 63.44   	 127.16		112.11   	 900.30		
 63.95   	 162.77		115.71   	 839.26		
 64.60   	 167.85		119.06   	 762.97		
 65.27   	 167.85		122.12   	 712.10		
 65.94   	 188.20		124.96   	 676.50		
 66.69   	 193.29		127.67   	 666.32		
 67.47   	 193.29		130.34   	 666.32		
 68.24   	 198.37		133.00   	 635.81		
 69.03   	 198.37		135.54   	 590.03		
 69.83   	 167.85		137.90   	 523.90		
 70.50   	 152.59		140.00   	 422.18		
 71.11   	 152.59		141.69   	 289.93		
 71.72   	 116.99		142.85   	 147.51		
 72.19   	  86.47		143.44   	  40.69		
 72.53   	  71.21		143.60(S)	 -35.61		
 72.82   	  50.86		143.46   	 -81.38		
 73.02   	  25.43		143.13   	 -55.95		
 73.12   	   5.09		142.91   	 -66.12		
 73.14(S)	 -25.43		142.64   	-101.73		
 73.04   	 -66.12		142.24   	-132.25		
 72.78   	-101.73		141.71   	-218.72		
 72.37   	-137.33		140.83   	-300.10		
 71.82   	-188.20		139.63   	-350.97		
 71.07   	-228.89		138.23   	-371.31		
 70.15   	-269.58		136.74   	-356.05		
 69.07   	-325.53		135.32   	-320.45		
 67.77   	-371.31		134.04   	-310.27		
 66.29   	-427.26		132.80   	-295.01		
 64.58   	-493.39		131.62   	-279.75		
 62.60   	-574.77		130.50   	-274.67		
 60.30   	-661.24		129.40   	-289.93		
 57.66   	-742.62		128.24   	-305.19		
 54.69   	-783.31		127.02   	-315.36		
 51.56   	-783.31		125.76   	-310.27		
 48.42   	-803.66		124.52   	-305.19		
 45.21   	-818.92		123.30   	-289.93		
 41.93   	-808.75		122.14   	-284.84		
 38.70   	-783.31		121.00   	-289.93		
 35.56   	-747.71		119.84   	-300.10		
 32.57   	-701.93		118.64   	-315.36		
 29.77   	-645.98		117.37   	-320.45		
 27.18   	-595.11		116.09   	-325.53		
 24.80   	-544.25		114.79   	-325.53		
 22.62   	-488.30		113.49   	-325.53		
 20.67   	-442.52		112.19   	-310.27		
 18.90   	-396.74		110.95   	-300.10		
 17.31   	-350.97		109.75   	-274.67		
 15.91   	-320.45		108.65   	-254.32		
 14.63   	-300.10		107.63   	-233.98		
