WITTCASE NUMBER: HB001304
SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  MPA     	  MPA'		
 46.61   	 -15.26		 35.63   	 101.73		
 46.55   	   0.00		 36.03   	  96.64		
 46.55   	  25.43		 36.42   	  96.64		
 46.65   	  71.21		 36.81   	  96.64		
 46.94   	 122.07		 37.19   	 106.82		
 47.43   	 193.29		 37.62   	 122.07		
 48.20   	 249.24		 38.11   	 147.51		
 49.20   	 305.19		 38.70   	 162.77		
 50.42   	 330.62		 39.35   	 178.03		
 51.74   	 350.97		 40.06   	 188.20		
 53.14   	 350.97		 40.81   	 188.20		
 54.55   	 356.05		 41.57   	 178.03		
 55.97   	 345.88		 42.28   	 172.94		
 57.35   	 325.53		 42.97   	 162.77		
 58.66   	 289.93		 43.62   	 147.51		
 59.82   	 259.41		 44.21   	 132.25		
 60.85   	 223.80		 44.74   	 111.90		
 61.75   	 203.46		 45.19   	  96.64		
 62.56   	 188.20		 45.57   	  86.47		
 63.32   	 172.94		 45.92   	  81.38		
 64.01   	 178.03		 46.25   	  71.21		
 64.72   	 178.03		 46.53   	  61.04		
 65.43   	 188.20		 46.77   	  66.12		
 66.18   	 188.20		 47.04   	  71.21		
 66.94   	 193.29		 47.32   	  66.12		
 67.71   	 188.20		 47.59   	  71.21		
 68.46   	 193.29		 47.87   	  71.21		
 69.24   	 188.20		 48.16   	  66.12		
 69.99   	 178.03		 48.42   	  66.12		
 70.70   	 167.85		 48.69   	  50.86		
 71.37   	 152.59		 48.89   	  45.78		
 71.98   	 142.42		 49.07   	  35.61		
 72.55   	 137.33		 49.22   	  25.43		
 73.10   	 132.25		 49.32   	  15.26		
 73.63   	 122.07		 49.38   	  15.26		
 74.12   	 106.82		 49.44   	  15.26		
 74.55   	  86.47		 49.50   	  10.17		
 74.89   	  76.30		 49.54   	   5.09		
 75.20   	  55.95		 49.56   	  10.17		
 75.42   	  55.95		 49.60   	   5.09		
 75.65   	  35.61		 49.62(S)	   0.00		
 75.79   	  20.35		 49.62   	 -10.17		
 75.87   	  20.35		 49.58   	 -10.17		
 75.95   	  10.17		 49.54   	 -10.17		
 75.99   	  15.26		 49.50   	 -25.43		
 76.05   	   5.09		 49.40   	 -25.43		
 76.07(S)	  -5.09		 49.30   	 -40.69		
 76.05   	 -25.43		 49.14   	 -61.04		
 75.95   	 -25.43		 48.89   	 -81.38		
 75.85   	 -25.43		 48.57   	 -81.38		
 75.75   	 -30.52		 48.24   	 -86.47		
 75.63   	 -40.69		 47.89   	-132.25		
 75.46   	 -50.86		 47.37   	-152.59		
 75.26   	 -50.86		 46.75   	-178.03		
 75.06   	 -55.95		 46.04   	-208.54		
 74.83   	 -61.04		 45.21   	-233.98		
 74.59   	 -61.04		 44.27   	-249.24		
 74.34   	 -71.21		 43.28   	-239.06		
 74.06   	 -86.47		 42.32   	-213.63		
 73.71   	 -96.64		 41.46   	-183.11		
 73.33   	 -96.64		 40.73   	-142.42		
 72.94   	 -96.64		 40.16   	-116.99		
 72.55   	-106.82		 39.69   	 -91.56		
 72.13   	-111.90		 39.33   	 -61.04		
 71.68   	-116.99		 39.08   	 -45.78		
 71.21   	-122.07		 38.90   	 -30.52		
 70.72   	-127.16		 38.78   	 -10.17		
 70.21   	-137.33		 38.74   	  -5.09		
 69.66   	-142.42		 38.72   	 -10.17		
 69.09   	-157.68		 38.68   	 -20.35		
 68.46   	-157.68		 38.60   	 -35.61		
 67.83   	-162.77		 38.45   	 -45.78		
 67.18   	-162.77		 38.27   	 -61.04		
 66.53   	-157.68		 38.03   	 -81.38		
 65.90   	-147.51		 37.70   	-101.73		
 65.31   	-132.25		 37.29   	-111.90		
 64.78   	-127.16		 36.85   	-127.16		
 64.27   	-106.82		 36.34   	-137.33		
 63.85   	-106.82		 35.79   	-147.51		
 63.42   	 -96.64		 35.20   	-162.77		
 63.03   	 -96.64		 34.55   	-152.59		
 62.64   	 -91.56		 33.94   	-147.51		
 62.28   	 -96.64		 33.35   	-132.25		
 61.89   	 -91.56		 32.82   	-101.73		
 61.53   	 -91.56		 32.41   	 -55.95		
 61.16   	 -81.38		 32.19   	 -20.35		
 60.83   	 -81.38		 32.11   	   0.00		
 60.51   	 -81.38		 32.11   	  -5.09		
 60.18   	 -71.21		 32.09   	 -25.43		
 59.90   	 -71.21		 31.98   	 -50.86		
 59.61   	 -76.30		 31.78   	 -76.30		
 59.31   	 -76.30		 31.47   	-101.73		
 59.00   	 -71.21		 31.07   	-116.99		
 58.72   	 -71.21		 30.60   	-132.25		
 58.43   	 -71.21		 30.07   	-147.51		
 58.15   	 -61.04		 29.48   	-147.51		
 57.90   	 -61.04		 28.89   	-147.51		
 57.66   	 -50.86		 28.30   	-137.33		
 57.46   	 -55.95		 27.75   	-127.16		
 57.23   	 -50.86		 27.24   	-111.90		
 57.03   	 -50.86		 26.80   	-101.73		
 56.83   	 -45.78		 26.39   	 -81.38		
 56.64   	 -45.78		 26.06   	 -76.30		
 56.46   	 -40.69		 25.76   	 -66.12		
 56.30   	 -45.78		 25.49   	 -61.04		
 56.11   	 -40.69		 25.25   	 -61.04		
 55.95   	 -40.69		 25.00   	 -55.95		
 55.79   	 -35.61		 24.78   	 -61.04		
 55.65   	 -35.61		 24.54   	 -61.04		
 55.50   	 -35.61		 24.29   	 -55.95		
 55.36   	 -35.61		 24.07   	 -61.04		
 55.22   	 -35.61		 23.82   	 -61.04		
 55.08   	 -35.61		 23.58   	 -61.04		
 54.93   	 -30.52		 23.34   	 -55.95		
 54.81   	 -30.52		 23.11   	 -50.86		
 54.69   	 -35.61		 22.91   	 -61.04		
 54.55   	 -40.69		 22.67   	 -55.95		
 54.38   	 -35.61		 22.44   	 -61.04		
 54.24   	 -40.69		 22.20   	 -66.12		
 54.08   	 -35.61		 21.93   	 -66.12		
 53.94   	 -35.61		 21.67   	 -71.21		
 53.79   	 -35.61		 21.38   	 -81.38		
 53.65   	 -25.43		 21.06   	 -81.38		
 53.55   	 -30.52		 20.73   	 -91.56		
 53.43   	 -30.52		 20.37   	 -86.47		
 53.31   	 -25.43		 20.02   	 -86.47		
 53.20   	 -25.43		 19.67   	 -86.47		
 53.10   	 -35.61		 19.33   	 -81.38		
 52.96   	 -35.61		 19.00   	 -71.21		
 52.82   	 -30.52		 18.72   	 -71.21		
 52.70   	 -30.52		 18.43   	 -55.95		
 52.57   	 -30.52		 18.21   	 -55.95		
 52.45   	 -25.43		 17.99   	 -55.95		
 52.35   	 -35.61		 17.76   	 -55.95		
 52.21   	 -35.61		 17.54   	 -50.86		
 52.06   	 -30.52		 17.33   	 -55.95		
 51.94   	 -30.52		 17.11   	 -50.86		
 51.82   	 -30.52		 16.91   	 -50.86		
 51.70   	 -25.43		 16.70   	 -50.86		
 51.60   	 -30.52		 16.50   	 -50.86		
 51.47   	 -35.61		 16.30   	 -55.95		
 51.33   	 -30.52		 16.07   	 -55.95		
 51.21   	 -30.52		 15.85   	 -61.04		
 51.09   	 -25.43		 15.61   	 -45.78		
 50.99   	 -20.35		 15.42   	 -25.43		
 50.91   	 -30.52		 15.32   	 -45.78		
 50.78   	 -30.52		 15.14   	 -35.61		
 50.66   	 -30.52		 14.99   	  -5.09		
 50.54   	 -30.52		 14.97(D)	  15.26		
 50.42   	 -25.43		 15.04   	  61.04		
 50.32   	 -25.43		 15.28   	 111.90		
 50.21   	 -20.35		 15.73   	 147.51		
 50.13   	 -30.52		 16.32   	 172.94		
 50.01   	 -25.43		 17.01   	 193.29		
 49.91   	 -25.43		 17.78   	 208.54		
 49.81   	 -20.35		 18.62   	 213.63		
 49.73   	 -30.52		 19.47   	 218.72		
 49.60   	 -25.43		 20.35   	 218.72		
 49.50   	 -35.61		 21.22   	 188.20		
 49.36   	 -25.43		 21.97   	 167.85		
 49.26   	 -30.52		 22.64   	 178.03		
 49.14   	 -25.43		 23.36   	 203.46		
 49.03   	 -25.43		 24.17   	 198.37		
 48.93   	 -30.52		 24.96   	 203.46		
