WITTCASE NUMBER: HA002439
SAMPLE NUMBER:   31
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 52.06   	   0.00		105.98   	 -71.21		
 52.06   	   5.09		105.70   	 -71.21		
 52.09(S)	  -5.09		105.41   	 -76.30		
 52.06   	  -5.09		105.11   	 -91.56		
 52.04   	  -5.09		104.74   	 -91.56		
 52.02   	  -5.09		104.37   	 -96.64		
 52.00   	 -10.17		103.99   	-101.73		
 51.96   	 -15.26		103.58   	-101.73		
 51.90   	 -20.35		103.17   	-101.73		
 51.82   	 -25.43		102.77   	-106.82		
 51.72   	 -45.78		102.34   	-106.82		
 51.54   	 -61.04		101.91   	-101.73		
 51.29   	 -71.21		101.51   	-101.73		
 51.01   	 -96.64		101.10   	-101.73		
 50.62   	-147.51		100.69   	-106.82		
 50.03   	-167.85		100.26   	-111.90		
 49.36   	-127.16		 99.82   	-122.07		
 48.85   	-111.90		 99.33   	-122.07		
 48.40   	-111.90		 98.84   	-137.33		
 47.96   	-111.90		 98.29   	-152.59		
 47.51   	 -86.47		 97.68   	-162.77		
 47.16   	 -61.04		 97.03   	-172.94		
 46.92   	 -50.86		 96.34   	-183.11		
 46.71   	 -35.61		 95.60   	-193.29		
 46.57   	 -25.43		 94.83   	-203.46		
 46.47   	 -20.35		 94.02   	-213.63		
 46.39   	 -20.35		 93.16   	-208.54		
 46.31   	 -20.35		 92.33   	-213.63		
 46.23   	 -30.52		 91.47   	-198.37		
 46.10   	 -40.69		 90.68   	-178.03		
 45.94   	 -50.86		 89.97   	-157.68		
 45.74   	 -66.12		 89.34   	-137.33		
 45.47   	 -76.30		 88.79   	-111.90		
 45.17   	 -86.47		 88.34   	 -96.64		
 44.82   	 -96.64		 87.95   	 -91.56		
 44.44   	-106.82		 87.59   	 -91.56		
 44.01   	-127.16		 87.22   	 -91.56		
 43.50   	-137.33		 86.86   	 -96.64		
 42.95   	-137.33		 86.47   	-101.73		
 42.40   	-127.16		 86.06   	-101.73		
 41.89   	-106.82		 85.66   	-106.82		
 41.46   	 -76.30		 85.23   	-101.73		
 41.16   	 -45.78		 84.82   	 -96.64		
 40.98   	 -10.17		 84.44   	 -91.56		
 40.94   	  20.35		 84.07   	 -81.38		
 41.02   	  45.78		 83.74   	 -71.21		
 41.20   	  50.86		 83.46   	 -66.12		
 41.40   	  50.86		 83.19   	 -55.95		
 41.61   	  61.04		 82.97   	 -55.95		
 41.85   	  66.12		 82.75   	 -45.78		
 42.12   	  76.30		 82.56   	 -40.69		
 42.42   	  66.12		 82.40   	 -40.69		
 42.69   	  40.69		 82.24   	 -40.69		
 42.85   	  30.52		 82.07   	 -30.52		
 42.97   	  10.17		 81.95   	 -30.52		
 43.01   	 -10.17		 81.83   	 -30.52		
 42.97   	 -25.43		 81.71   	 -25.43		
 42.87   	 -50.86		 81.61   	 -25.43		
 42.67   	 -61.04		 81.51   	 -20.35		
 42.42   	 -71.21		 81.42   	 -25.43		
