WITTCASE NUMBER: HB002057
SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 61.53   	-101.73		  8.59   	  -5.09		
 61.12   	 -91.56		  8.57   	   0.00		
 60.75   	 -71.21		  8.57   	  15.26		
 60.47   	 -71.21		  8.63   	  10.17		
 60.18   	 -81.38		  8.67   	   5.09		
 59.86   	 -96.64		  8.69   	  -5.09		
 59.47   	-101.73		  8.67   	 -15.26		
 59.06   	 -91.56		  8.61   	 -10.17		
 58.70   	 -81.38		  8.57   	 -15.26		
 58.37   	 -71.21		  8.50   	 -10.17		
 58.09   	 -66.12		  8.46   	 -10.17		
 57.82   	 -76.30		  8.42   	 -10.17		
 57.52   	 -91.56		  8.38   	 -15.26		
 57.15   	 -76.30		  8.32   	 -15.26		
 56.85   	 -71.21		  8.26   	 -10.17		
 56.56   	 -66.12		  8.22   	  -5.09		
 56.30   	 -66.12		  8.20   	  10.17		
 56.03   	 -61.04		  8.24   	  30.52		
 55.79   	 -66.12		  8.36   	  40.69		
 55.52   	 -76.30		  8.52   	  40.69		
 55.22   	 -91.56		  8.69   	  25.43		
 54.85   	 -96.64		  8.79   	  15.26		
 54.47   	 -76.30		  8.85   	  20.35		
 54.16   	 -55.95		  8.93   	  35.61		
 53.94   	 -71.21		  9.07   	  61.04		
 53.65   	 -76.30		  9.32   	  61.04		
 53.35   	 -71.21		  9.56   	  71.21		
 53.06   	 -76.30		  9.85   	  66.12		
 52.76   	 -81.38		 10.11   	  81.38		
 52.43   	 -66.12		 10.44   	 106.82		
 52.17   	 -55.95		 10.86   	 152.59		
 51.94   	 -61.04		 11.48   	 203.46		
 51.70   	 -66.12		 12.29   	 249.24		
 51.43   	 -55.95		 13.29   	 249.24		
 51.21   	 -66.12		 14.28   	 208.54		
 50.95   	 -71.21		 15.12   	 203.46		
 50.66   	 -76.30		 15.93   	 284.84		
 50.36   	 -66.12		 17.07   	 386.57		
 50.09   	 -81.38		 18.62   	 651.07		
 49.77   	 -66.12		 21.22   	 691.76		
 49.50   	 -55.95		 23.99   	 737.54		
 49.28   	 -50.86		 26.94   	 788.40		
 49.07   	 -50.86		 30.09   	 793.49		
 48.87   	 -50.86		 33.27   	 773.14		
 48.67   	 -50.86		 36.36   	 722.28		
 48.46   	 -45.78		 39.25   	 651.07		
 48.28   	 -40.69		 41.85   	 569.68		
 48.12   	 -25.43		 44.13   	 493.39		
 48.02   	  15.26		 46.10   	 412.00		
 48.08   	  71.21		 47.75   	 325.53		
 48.36   	 142.42		 49.05   	 244.15		
 48.93   	 228.89		 50.03   	 178.03		
 49.85   	 284.84		 50.74   	 122.07		
 50.99   	 320.45		 51.23   	  91.56		
 52.27   	 345.88		 51.60   	  66.12		
 53.65   	 376.40		 51.86   	  71.21		
 55.16   	 386.57		 52.15   	  76.30		
 56.70   	 376.40		 52.45   	 106.82		
 58.21   	 371.31		 52.88   	 127.16		
 59.69   	 371.31		 53.39   	 157.68		
