WITTCASE NUMBER: HA002441
SAMPLE NUMBER:   15
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 38.09   	 371.31		 50.76   	 -30.52		
 39.57   	 350.97		 50.64   	 -30.52		
 40.98   	 330.62		 50.52   	 -40.69		
 42.30   	 300.10		 50.36   	 -35.61		
 43.50   	 284.84		 50.21   	 -40.69		
 44.64   	 259.41		 50.05   	 -35.61		
 45.68   	 239.06		 49.91   	 -30.52		
 46.63   	 208.54		 49.79   	   0.00		
 47.47   	 178.03		 49.79   	  35.61		
 48.18   	 142.42		 49.93   	 122.07		
 48.75   	 116.99		 50.42   	 259.41		
 49.22   	 101.73		 51.45   	 432.35		
 49.62   	  86.47		 53.18   	 584.94		
 49.97   	  71.21		 55.52   	 656.15		
 50.25   	  61.04		 58.15   	 656.15		
 50.50   	  50.86		 60.77   	 590.03		
 50.70   	  40.69		 63.13   	 483.21		
 50.86   	  25.43		 65.07   	 340.79		
 50.97   	  25.43		 66.43   	 233.98		
 51.07   	  20.35		 67.36   	 157.68		
 51.15   	  20.35		 68.00   	 137.33		
 51.23   	  10.17		 68.55   	 157.68		
 51.27   	  15.26		 69.18   	 223.80		
 51.33   	  10.17		 70.07   	 300.10		
 51.37   	  15.26		 71.27   	 371.31		
 51.43   	  10.17		 72.76   	 422.18		
 51.47   	  10.17		 74.45   	 437.43		
 51.52   	  10.17		 76.20   	 442.52		
 51.56   	  10.17		 77.97   	 412.00		
 51.60   	  10.17		 79.61   	 391.66		
 51.64   	  10.17		 81.18   	 356.05		
 51.68   	  10.17		 82.60   	 320.45		
 51.72   	  10.17		 83.89   	 320.45		
 51.76   	  15.26		 85.17   	 335.71		
 51.82   	  10.17		 86.51   	 345.88		
 51.86   	   5.09		 87.89   	 345.88		
 51.88   	   5.09		 89.28   	 335.71		
 51.90   	   0.00		 90.62   	 259.41		
 51.90   	  -5.09		 91.66   	 239.06		
 51.88   	 -10.17		 92.61   	 310.27		
 51.84   	 -10.17		 93.86   	 244.15		
 51.80   	 -15.26		 94.83   	 172.94		
 51.74   	 -20.35		 95.52   	 279.75		
 51.66   	 -25.43		 96.64   	 254.32		
 51.56   	 -25.43		 97.66   	 122.07		
 51.45   	 -35.61		 98.15   	 142.42		
 51.31   	 -35.61		 98.72   	 122.07		
 51.17   	 -40.69		 99.21   	  40.69		
 51.01   	 -45.78		 99.37   	  40.69		
 50.82   	 -50.86		 99.53   	  30.52		
 50.62   	 -50.86		 99.65(S)	 -40.69		
 50.42   	 -61.04		 99.49   	 -45.78		
 50.17   	 -66.12		 99.31   	 -25.43		
 49.91   	 -66.12		 99.21   	 -25.43		
 49.64   	 -71.21		 99.10   	  15.26		
 49.36   	 -76.30		 99.17   	  15.26		
 49.05   	 -76.30		 99.23   	 -40.69		
 48.75   	 -86.47		 99.06   	 -76.30		
 48.40   	 -91.56		 98.76   	 -71.21		
 48.04   	-101.73		 98.47   	 -86.47		
 47.63   	-111.90		 98.13   	-116.99		
 47.18   	-127.16		 97.66   	-111.90		
 46.67   	-142.42		 97.21   	 -96.64		
 46.10   	-162.77		 96.83   	-127.16		
 45.45   	-188.20		 96.32   	-183.11		
 44.70   	-213.63		 95.58   	-218.72		
 43.85   	-239.06		 94.71   	-223.80		
 42.89   	-259.41		 93.81   	-198.37		
 41.85   	-284.84		 93.02   	-142.42		
 40.71   	-305.19		 92.45   	-111.90		
 39.49   	-325.53		 92.00   	-122.07		
 38.19   	-345.88		 91.52   	-142.42		
 36.81   	-366.22		 90.95   	-167.85		
 35.34   	-386.57		 90.27   	-162.77		
 33.79   	-396.74		 89.62   	-142.42		
 32.21   	-412.00		 89.05   	-157.68		
 30.56   	-427.26		 88.42   	-183.11		
 28.85   	-437.43		 87.69   	-188.20		
 27.10   	-437.43		 86.94   	-183.11		
 25.35   	-432.35		 86.21   	-188.20		
 23.62   	-427.26		 85.45   	-193.29		
 21.91   	-412.00		 84.68   	-203.46		
 20.26   	-391.66		 83.87   	-203.46		
 18.70   	-371.31		 83.05   	-183.11		
 17.21   	-345.88		 82.32   	-167.85		
 15.83   	-310.27		 81.65   	-152.59		
 14.59   	-279.75		 81.04   	-147.51		
 13.47   	-244.15		 80.45   	-137.33		
 12.49   	-213.63		 79.90   	-137.33		
 11.64   	-183.11		 79.35   	-142.42		
 10.91   	-152.59		 78.78   	-142.42		
 10.29   	-122.07		 78.21   	-142.42		
  9.81   	-101.73		 77.64   	-137.33		
  9.40   	 -76.30		 77.09   	-142.42		
  9.09   	 -50.86		 76.52   	-137.33		
  8.89   	 -40.69		 75.97   	-137.33		
  8.73   	 -20.35		 75.42   	-132.25		
  8.65   	 -10.17		 74.89   	-122.07		
  8.61   	   0.00		 74.40   	-116.99		
  8.61   	   5.09		 73.94   	-111.90		
  8.63   	   5.09		 73.49   	-101.73		
  8.65   	  10.17		 73.08   	 -96.64		
  8.69   	  10.17		 72.70   	 -91.56		
  8.73   	  10.17		 72.33   	 -86.47		
  8.77   	   0.00		 71.98   	 -91.56		
  8.77   	 -10.17		 71.62   	 -91.56		
  8.73   	 -25.43		 71.25   	 -86.47		
  8.63   	 -30.52		 70.91   	 -81.38		
  8.50   	 -35.61		 70.58   	 -81.38		
  8.36   	 -50.86		 70.25   	 -76.30		
  8.16   	 -45.78		 69.95   	 -76.30		
  7.98   	 -50.86		 69.64   	 -71.21		
  7.77   	 -35.61		 69.36   	 -76.30		
  7.63   	 -30.52		 69.05   	 -66.12		
  7.51   	 -10.17		 68.79   	 -71.21		
  7.47   	  10.17		 68.50   	 -61.04		
  7.51   	  25.43		 68.26   	 -66.12		
  7.61   	  40.69		 68.00   	 -61.04		
  7.77   	  61.04		 67.75   	 -61.04		
  8.02   	  66.12		 67.51   	 -55.95		
  8.28   	  76.30		 67.28   	 -61.04		
  8.59   	  76.30		 67.04   	 -61.04		
  8.89   	  71.21		 66.80   	 -66.12		
  9.18   	  66.12		 66.53   	 -61.04		
  9.44   	  66.12		 66.29   	 -55.95		
  9.70   	  55.95		 66.06   	 -61.04		
  9.93   	  45.78		 65.82   	 -61.04		
 10.11   	  35.61		 65.57   	 -55.95		
