WITTCASE NUMBER: HB003006
SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  RV     	  RV'		
 52.61   	  20.35		 12.02   	 239.06		
 52.70   	  15.26		 12.98   	 289.93		
 52.76   	   5.09		 14.14   	 335.71		
 52.78   	  -5.09		 15.48   	 371.31		
 52.76   	 -20.35		 16.97   	 406.92		
 52.68   	 -25.43		 18.60   	 437.43		
 52.57   	 -35.61		 20.35   	 473.04		
 52.43   	 -35.61		 22.24   	 508.65		
 52.29   	 -40.69		 24.27   	 544.25		
 52.13   	 -35.61		 26.45   	 584.94		
 51.98   	 -25.43		 28.79   	 625.63		
 51.88   	 -25.43		 31.29   	 671.41		
 51.78   	 -10.17		 33.98   	 701.93		
 51.74   	 -10.17		 36.79   	 722.28		
 51.70   	  -5.09		 39.67   	 742.62		
 51.68   	   0.00		 42.64   	 742.62		
 51.68   	   0.00		 45.62   	 737.54		
 51.68   	   0.00		 48.57   	 712.10		
 51.68   	  -5.09		 51.41   	 686.67		
 51.66   	 -10.17		 54.16   	 651.07		
 51.62   	 -10.17		 56.76   	 600.20		
 51.58   	 -10.17		 59.17   	 554.42		
 51.54   	 -10.17		 61.38   	 503.56		
 51.50   	 -15.26		 63.40   	 442.52		
 51.43   	 -20.35		 65.17   	 391.66		
 51.35   	 -30.52		 66.73   	 335.71		
 51.23   	 -45.78		 68.08   	 279.75		
 51.05   	 -50.86		 69.20   	 239.06		
 50.84   	 -61.04		 70.15   	 193.29		
 50.60   	 -61.04		 70.93   	 162.77		
 50.36   	 -61.04		 71.58   	 127.16		
 50.11   	 -50.86		 72.09   	 111.90		
 49.91   	 -35.61		 72.53   	  91.56		
 49.77   	 -15.26		 72.90   	  81.38		
 49.70   	  10.17		 73.22   	  81.38		
 49.75   	  40.69		 73.55   	  76.30		
 49.91   	  76.30		 73.86   	  81.38		
 50.21   	 116.99		 74.18   	  86.47		
 50.68   	 162.77		 74.53   	  96.64		
 51.33   	 208.54		 74.91   	 111.90		
 52.17   	 254.32		 75.36   	 122.07		
 53.18   	 300.10		 75.85   	 132.25		
 54.38   	 335.71		 76.38   	 147.51		
 55.73   	 371.31		 76.97   	 157.68		
 57.21   	 396.74		 77.60   	 172.94		
 58.80   	 406.92		 78.29   	 178.03		
 60.43   	 401.83		 79.00   	 188.20		
 62.03   	 391.66		 79.76   	 198.37		
 63.60   	 371.31		 80.55   	 203.46		
 65.09   	 335.71		 81.36   	 203.46		
 66.43   	 305.19		 82.18   	 203.46		
 67.65   	 259.41		 82.99   	 198.37		
 68.69   	 228.89		 83.78   	 198.37		
 69.60   	 198.37		 84.58   	 193.29		
 70.40   	 183.11		 85.35   	 188.20		
 71.13   	 167.85		 86.10   	 188.20		
 71.80   	 162.77		 86.86   	 183.11		
 72.45   	 178.03		 87.59   	 178.03		
 73.16   	 193.29		 88.30   	 172.94		
 73.94   	 213.63		 88.99   	 162.77		
 74.79   	 239.06		 89.64   	 152.59		
 75.75   	 264.50		 90.25   	 147.51		
 76.81   	 279.75		 90.84   	 137.33		
 77.92   	 289.93		 91.39   	 132.25		
 79.08   	 305.19		 91.92   	 122.07		
 80.30   	 300.10		 92.41   	 116.99		
 81.51   	 295.01		 92.88   	 101.73		
 82.69   	 274.67		 93.29   	  86.47		
 83.78   	 259.41		 93.63   	  76.30		
 84.82   	 233.98		 93.94   	  55.95		
 85.76   	 203.46		 94.16   	  40.69		
 86.57   	 178.03		 94.32   	  20.35		
 87.28   	 147.51		 94.40   	   5.09		
 87.87   	 127.16		 94.42(S)	 -15.26		
 88.38   	 106.82		 94.36   	 -40.69		
 88.81   	  81.38		 94.20   	 -66.12		
 89.13   	  71.21		 93.94   	 -96.64		
 89.42   	  50.86		 93.55   	-137.33		
 89.62   	  45.78		 93.00   	-172.94		
 89.81   	  25.43		 92.31   	-218.72		
 89.91   	  20.35		 91.43   	-259.41		
 89.99   	   5.09		 90.40   	-300.10		
 90.01   	  -5.09		 89.20   	-345.88		
 89.99   	 -20.35		 87.81   	-391.66		
 89.91   	 -35.61		 86.25   	-422.18		
 89.77   	 -50.86		 84.56   	-462.87		
 89.56   	 -61.04		 82.71   	-498.47		
 89.32   	 -76.30		 80.71   	-523.90		
 89.01   	 -91.56		 78.62   	-559.51		
 88.65   	 -96.64		 76.38   	-590.03		
 88.26   	-101.73		 74.02   	-615.46		
 87.85   	-111.90		 71.56   	-640.89		
 87.41   	-106.82		 68.99   	-671.41		
 86.98   	-111.90		 66.31   	-696.84		
 86.53   	-106.82		 63.52   	-712.10		
 86.10   	-111.90		 60.67   	-737.54		
 85.66   	-106.82		 57.72   	-742.62		
 85.23   	-111.90		 54.75   	-757.88		
 84.78   	-116.99		 51.72   	-757.88		
 84.31   	-122.07		 48.69   	-757.88		
 83.82   	-127.16		 45.66   	-752.79		
 83.32   	-132.25		 42.64   	-742.62		
 82.79   	-142.42		 39.67   	-732.45		
 82.22   	-152.59		 36.74   	-717.19		
 81.61   	-157.68		 33.88   	-691.76		
 80.98   	-172.94		 31.11   	-671.41		
 80.28   	-178.03		 28.42   	-635.81		
 79.57   	-188.20		 25.88   	-610.37		
 78.82   	-188.20		 23.44   	-574.77		
 78.07   	-193.29		 21.14   	-539.16		
 77.29   	-188.20		 18.98   	-503.56		
 76.54   	-183.11		 16.97   	-467.95		
 75.81   	-178.03		 15.10   	-432.35		
 75.10   	-167.85		 13.37   	-401.83		
 74.42   	-147.51		 11.76   	-366.22		
 73.83   	-137.33		 10.29   	-335.71		
 73.29   	-122.07		  8.95   	-310.27		
 72.80   	-106.82		  7.71   	-274.67		
 72.37   	 -91.56		  6.61   	-244.15		
 72.00   	 -86.47		  5.64   	-213.63		
 71.66   	 -76.30		  4.78   	-188.20		
 71.35   	 -71.21		  4.03   	-167.85		
 71.07   	 -76.30		  3.36   	-137.33		
 70.76   	 -71.21		  2.81   	-122.07		
 70.48   	 -81.38		  2.32   	-101.73		
 70.15   	 -86.47		  1.91   	 -86.47		
 69.81   	 -91.56		  1.57   	 -71.21		
 69.44   	-101.73		  1.28   	 -61.04		
 69.03   	-106.82		  1.04   	 -45.78		
 68.61   	-116.99		  0.85   	 -35.61		
 68.14   	-116.99		  0.71   	 -25.43		
 67.67   	-116.99		  0.61   	 -15.26		
 67.20   	-111.90		  0.55   	 -10.17		
 66.75   	-111.90		  0.51   	   0.00		
 66.31   	-101.73		  0.51   	  -5.09		
 65.90   	-101.73		  0.49(D)	   0.00		
 65.49   	 -91.56		  0.49   	   0.00		
 65.13   	 -86.47		  0.49   	   0.00		
 64.78   	 -76.30		  0.49   	   0.00		
 64.48   	 -76.30		  0.49   	   5.09		
 64.17   	 -71.21		  0.51   	   0.00		
 63.89   	 -71.21		  0.51   	  10.17		
 63.60   	 -71.21		  0.55   	  10.17		
 63.32   	 -66.12		  0.59   	  15.26		
 63.05   	 -66.12		  0.65   	  25.43		
 62.79   	 -71.21		  0.75   	  20.35		
 62.50   	 -61.04		  0.83   	  30.52		
 62.26   	 -66.12		  0.96   	  30.52		
 61.99   	 -61.04		  1.08   	  35.61		
 61.75   	 -61.04		  1.22   	  35.61		
 61.51   	 -61.04		  1.36   	  40.69		
 61.26   	 -55.95		  1.53   	  35.61		
 61.04   	 -55.95		  1.67   	  40.69		
 60.81   	 -55.95		  1.83   	  40.69		
 60.59   	 -50.86		  1.99   	  45.78		
 60.39   	 -55.95		  2.18   	  40.69		
 60.16   	 -50.86		  2.34   	  45.78		
 59.96   	 -50.86		  2.52   	  40.69		
 59.76   	 -50.86		  2.69   	  40.69		
 59.55   	 -50.86		  2.85   	  35.61		
 59.35   	 -50.86		  2.99   	  30.52		
 59.15   	 -50.86		  3.11   	  30.52		
 58.94   	 -45.78		  3.23   	  20.35		
 58.76   	 -45.78		  3.32   	  20.35		
 58.58   	 -45.78		  3.40   	  15.26		
 58.39   	 -45.78		  3.46   	  10.17		
 58.21   	 -40.69		  3.50   	  10.17		
 58.05   	 -40.69		  3.54   	  10.17		
 57.88   	 -35.61		  3.58   	   5.09		
 57.74   	 -35.61		  3.60   	   0.00		
 57.60   	 -40.69		  3.60   	   0.00		
 57.44   	 -35.61		  3.60   	   0.00		
 57.29   	 -30.52		  3.60   	  -5.09		
 57.17   	 -35.61		  3.58   	 -10.17		
 57.03   	 -30.52		  3.54   	  -5.09		
 56.91   	 -30.52		  3.52   	  -5.09		
 56.79   	 -30.52		  3.50   	  -5.09		
 56.66   	 -20.35		  3.48   	  -5.09		
 56.58   	 -25.43		  3.46   	  -5.09		
 56.48   	 -20.35		  3.44   	  -5.09		
 56.40   	 -20.35		  3.42   	   0.00		
 56.32   	 -20.35		  3.42   	   5.09		
 56.24   	 -15.26		  3.44   	   5.09		
 56.17   	 -15.26		  3.46   	  10.17		
 56.11   	 -15.26		  3.50   	  15.26		
 56.05   	 -15.26		  3.56   	  15.26		
 55.99   	 -15.26		  3.62   	  25.43		
 55.93   	 -10.17		  3.72   	  30.52		
 55.89   	 -10.17		  3.85   	  25.43		
 55.85   	  -5.09		  3.95   	  35.61		
 55.83   	 -10.17		  4.09   	  35.61		
 55.79   	  -5.09		  4.23   	  35.61		
 55.77   	  -5.09		  4.37   	  35.61		
 55.75   	  -5.09		  4.52   	  40.69		
 55.73   	   0.00		  4.68   	  40.69		
 55.73   	  -5.09		  4.84   	  40.69		
 55.71   	   0.00		  5.01   	  40.69		
 55.71   	   5.09		  5.17   	  40.69		
 55.73   	   0.00		  5.33   	  40.69		
 55.73   	   5.09		  5.49   	  40.69		
 55.75   	   0.00		  5.66   	  35.61		
 55.75   	   0.00		  5.80   	  35.61		
 55.75   	   0.00		  5.94   	  35.61		
 55.75   	 -10.17		  6.08   	  35.61		
 55.71   	  -5.09		  6.23   	  35.61		
 55.69   	 -15.26		  6.37   	  40.69		
 55.63   	 -15.26		  6.53   	  45.78		
