WITTCASE NUMBER: HA000189
SAMPLE NUMBER:   12
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 43.26   	-315.36		115.63   	-198.37		
 41.99   	-366.22		114.83   	-203.46		
 40.53   	-401.83		114.02   	-213.63		
 38.92   	-406.92		113.16   	-223.80		
 37.29   	-361.14		112.27   	-228.89		
 35.85   	-284.84		111.35   	-254.32		
 34.71   	-239.06		110.34   	-269.58		
 33.75   	-223.80		109.26   	-274.67		
 32.86   	-208.54		108.16   	-274.67		
 32.02   	-188.20		107.06   	-295.01		
 31.27   	-147.51		105.88   	-325.53		
 30.68   	-116.99		104.58   	-345.88		
 30.21   	 -91.56		103.19   	-335.71		
 29.85   	 -91.56		101.85   	-335.71		
 29.48   	-111.90		100.51   	-361.14		
 29.03   	-116.99		 99.06   	-381.48		
 28.57   	-116.99		 97.54   	-401.83		
 28.10   	-116.99		 95.93   	-406.92		
 27.63   	-111.90		 94.30   	-386.57		
 27.18   	-127.16		 92.76   	-335.71		
 26.67   	-137.33		 91.41   	-284.84		
 26.12   	-137.33		 90.27   	-228.89		
 25.57   	-122.07		 89.36   	-193.29		
 25.09   	 -96.64		 88.59   	-188.20		
 24.70   	 -86.47		 87.83   	-178.03		
 24.35   	 -76.30		 87.12   	-162.77		
 24.05   	 -66.12		 86.47   	-157.68		
 23.78   	 -61.04		 85.84   	-127.16		
 23.54   	 -55.95		 85.33   	-111.90		
 23.32   	 -61.04		 84.88   	-111.90		
 23.07   	 -50.86		 84.44   	-106.82		
 22.87   	 -50.86		 84.01   	-122.07		
 22.67   	 -50.86		 83.52   	-142.42		
 22.46   	 -55.95		 82.95   	-152.59		
 22.24   	 -61.04		 82.34   	-152.59		
 21.99   	 -71.21		 81.73   	-122.07		
 21.71   	 -71.21		 81.24   	 -86.47		
 21.42   	 -76.30		 80.89   	 -81.38		
 21.12   	 -86.47		 80.57   	 -81.38		
 20.77   	 -81.38		 80.24   	 -66.12		
 20.45   	 -66.12		 79.98   	 -55.95		
 20.18   	 -76.30		 79.76   	 -55.95		
 19.88   	 -76.30		 79.53   	 -76.30		
 19.57   	 -71.21		 79.23   	 -81.38		
 19.29   	 -71.21		 78.90   	 -66.12		
 19.00   	 -55.95		 78.64   	 -45.78		
 18.78   	 -45.78		 78.45   	 -30.52		
