WITTCASE NUMBER: HB002733
SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 64.80   	-228.89		 42.83   	-391.66		
 63.89   	-223.80		 41.26   	-412.00		
 62.99   	-233.98		 39.61   	-422.18		
 62.05   	-233.98		 37.92   	-427.26		
 61.12   	-228.89		 36.22   	-437.43		
 60.20   	-233.98		 34.47   	-432.35		
 59.27   	-228.89		 32.74   	-437.43		
 58.35   	-218.72		 30.99   	-437.43		
 57.48   	-218.72		 29.24   	-437.43		
 56.60   	-203.46		 27.49   	-437.43		
 55.79   	-198.37		 25.74   	-432.35		
 54.99   	-188.20		 24.01   	-427.26		
 54.24   	-178.03		 22.30   	-427.26		
 53.53   	-167.85		 20.59   	-412.00		
 52.86   	-157.68		 18.94   	-401.83		
 52.23   	-142.42		 17.33   	-381.48		
 51.66   	-137.33		 15.81   	-361.14		
 51.11   	-122.07		 14.36   	-335.71		
 50.62   	-116.99		 13.02   	-310.27		
 50.15   	-106.82		 11.78   	-279.75		
 49.73   	-101.73		 10.66   	-249.24		
 49.32   	 -91.56		  9.66   	-218.72		
 48.95   	 -81.38		  8.79   	-188.20		
 48.63   	 -81.38		  8.04   	-167.85		
 48.30   	 -71.21		  7.37   	-142.42		
 48.02   	 -66.12		  6.80   	-127.16		
 47.75   	 -61.04		  6.29   	-111.90		
 47.51   	 -55.95		  5.84   	-101.73		
 47.28   	 -50.86		  5.43   	 -86.47		
 47.08   	 -45.78		  5.09   	 -76.30		
 46.90   	 -45.78		  4.78   	 -71.21		
 46.71   	 -40.69		  4.50   	 -61.04		
 46.55   	 -40.69		  4.25   	 -55.95		
 46.39   	 -35.61		  4.03   	 -45.78		
 46.25   	 -35.61		  3.85   	 -40.69		
 46.10   	 -30.52		  3.68   	 -30.52		
 45.98   	 -35.61		  3.56   	 -25.43		
 45.84   	 -35.61		  3.46   	 -15.26		
 45.70   	 -30.52		  3.40   	 -10.17		
 45.57   	 -35.61		  3.36   	   0.00		
 45.43   	 -35.61		  3.36   	  10.17		
 45.29   	 -35.61		  3.40   	  10.17		
 45.15   	 -35.61		  3.44   	  20.35		
 45.00   	 -35.61		  3.52   	  25.43		
 44.86   	 -35.61		  3.62   	  30.52		
 44.72   	 -35.61		  3.74   	  35.61		
 44.58   	 -35.61		  3.89   	  35.61		
 44.44   	 -35.61		  4.03   	  35.61		
 44.29   	 -35.61		  4.17   	  35.61		
 44.15   	 -35.61		  4.31   	  30.52		
 44.01   	 -35.61		  4.44   	  30.52		
 43.87   	 -35.61		  4.56   	  25.43		
 43.72   	 -30.52		  4.66   	  20.35		
 43.60   	 -35.61		  4.74   	  20.35		
 43.46   	 -30.52		  4.82   	  20.35		
 43.34   	 -35.61		  4.90   	  15.26		
 43.19   	 -30.52		  4.96   	  15.26		
 43.07   	 -40.69		  5.03(E)	  20.35		
 42.91   	 -35.61		  5.11   	  20.35		
 42.77   	 -35.61		  5.19   	  25.43		
 42.62   	 -40.69		  5.29   	  25.43		
 42.46   	 -40.69		  5.39   	  20.35		
 42.30   	 -35.61		  5.47   	  25.43		
 42.16   	 -40.69		  5.57   	  30.52		
 41.99   	 -40.69		  5.70   	  30.52		
 41.83   	 -40.69		  5.82   	  35.61		
 41.67   	 -35.61		  5.96   	  35.61		
 41.53   	 -40.69		  6.10   	  50.86		
 41.36   	 -35.61		  6.31   	  55.95		
 41.22   	 -35.61		  6.53   	  66.12		
 41.08   	 -35.61		  6.80   	  76.30		
 40.94   	 -35.61		  7.10   	  91.56		
 40.79   	 -35.61		  7.47   	 101.73		
 40.65   	 -30.52		  7.87   	 111.90		
 40.53   	 -35.61		  8.32   	 127.16		
 40.39   	 -30.52		  8.83   	 137.33		
 40.26   	 -30.52		  9.38   	 152.59		
 40.14   	 -30.52		  9.99   	 167.85		
 40.02   	 -30.52		 10.66   	 183.11		
 39.90   	 -35.61		 11.39   	 203.46		
 39.76   	 -30.52		 12.21   	 228.89		
 39.63   	 -30.52		 13.12   	 254.32		
 39.51   	 -35.61		 14.14   	 284.84		
 39.37   	 -35.61		 15.28   	 305.19		
 39.23   	 -30.52		 16.50   	 330.62		
 39.10   	 -35.61		 17.82   	 350.97		
 38.96   	 -30.52		 19.23   	 361.14		
 38.84   	 -30.52		 20.67   	 361.14		
 38.72   	 -25.43		 22.12   	 366.22		
 38.62   	 -15.26		 23.58   	 361.14		
 38.56   	 -15.26		 25.03   	 356.05		
 38.49   	   5.09		 26.45   	 345.88		
 38.51   	  15.26		 27.83   	 335.71		
 38.58   	  30.52		 29.18   	 320.45		
 38.70   	  55.95		 30.46   	 320.45		
 38.92   	  86.47		 31.74   	 305.19		
 39.27   	 106.82		 32.96   	 305.19		
 39.69   	 142.42		 34.18   	 295.01		
 40.26   	 172.94		 35.36   	 295.01		
 40.96   	 208.54		 36.54   	 295.01		
 41.79   	 239.06		 37.72   	 284.84		
 42.75   	 274.67		 38.86   	 284.84		
 43.85   	 305.19		 40.00   	 274.67		
 45.07   	 330.62		 41.10   	 274.67		
 46.39   	 356.05		 42.20   	 259.41		
 47.81   	 381.48		 43.23   	 259.41		
 49.34   	 396.74		 44.27   	 244.15		
 50.93   	 417.09		 45.25   	 239.06		
 52.59   	 422.18		 46.21   	 223.80		
 54.28   	 427.26		 47.10   	 213.63		
 55.99   	 427.26		 47.96   	 203.46		
 57.70   	 422.18		 48.77   	 193.29		
 59.39   	 417.09		 49.54   	 183.11		
 61.06   	 401.83		 50.27   	 172.94		
 62.67   	 381.48		 50.97   	 162.77		
 64.19   	 366.22		 51.62   	 157.68		
 65.66   	 335.71		 52.25   	 142.42		
 67.00   	 310.27		 52.82   	 137.33		
 68.24   	 284.84		 53.37   	 127.16		
 69.38   	 244.15		 53.88   	 111.90		
 70.36   	 208.54		 54.32   	 101.73		
 71.19   	 172.94		 54.73   	  91.56		
 71.88   	 132.25		 55.10   	  71.21		
 72.41   	  96.64		 55.38   	  50.86		
 72.80   	  20.35		 55.58   	  15.26		
 72.88(S)	 -10.17		 55.65(S)	 -10.17		
 72.84   	 -45.78		 55.61   	 -45.78		
 72.65   	 -76.30		 55.42   	 -71.21		
 72.35   	-101.73		 55.14   	-106.82		
 71.94   	-127.16		 54.71   	-137.33		
 71.43   	-142.42		 54.16   	-178.03		
 70.86   	-167.85		 53.45   	-213.63		
 70.19   	-172.94		 52.59   	-249.24		
 69.50   	-188.20		 51.60   	-279.75		
 68.75   	-198.37		 50.48   	-315.36		
 67.95   	-203.46		 49.22   	-335.71		
 67.14   	-213.63		 47.87   	-366.22		
 66.29   	-213.63		 46.41   	-391.66		
 65.43   	-218.72		 44.84   	-406.92		
 64.56   	-228.89		 43.21   	-432.35		
 63.64   	-223.80		 41.49   	-442.52		
 62.75   	-228.89		 39.72   	-457.78		
 61.83   	-233.98		 37.88   	-462.87		
 60.89   	-228.89		 36.03   	-467.95		
 59.98   	-223.80		 34.16   	-473.04		
 59.08   	-218.72		 32.27   	-462.87		
 58.21   	-218.72		 30.42   	-457.78		
 57.33   	-203.46		 28.59   	-442.52		
 56.52   	-198.37		 26.82   	-427.26		
 55.73   	-183.11		 25.11   	-406.92		
 54.99   	-172.94		 23.48   	-391.66		
 54.30   	-162.77		 21.91   	-371.31		
 53.65   	-142.42		 20.43   	-350.97		
 53.08   	-137.33		 19.02   	-335.71		
 52.53   	-122.07		 17.68   	-315.36		
 52.04   	-106.82		 16.42   	-295.01		
 51.62   	-101.73		 15.24   	-274.67		
 51.21   	 -91.56		 14.14   	-259.41		
 50.84   	 -81.38		 13.10   	-233.98		
 50.52   	 -76.30		 12.17   	-223.80		
 50.21   	 -71.21		 11.27   	-198.37		
 49.93   	 -71.21		 10.48   	-178.03		
 49.64   	 -61.04		  9.77   	-157.68		
 49.40   	 -55.95		  9.14   	-137.33		
 49.18   	 -61.04		  8.59   	-116.99		
 48.93   	 -50.86		  8.12   	-101.73		
 48.73   	 -55.95		  7.71   	 -76.30		
 48.50   	 -50.86		  7.41   	 -61.04		
 48.30   	 -50.86		  7.16   	 -55.95		
 48.10   	 -45.78		  6.94   	 -40.69		
 47.91   	 -45.78		  6.78   	 -35.61		
 47.73   	 -40.69		  6.63   	 -30.52		
 47.57   	 -35.61		  6.51   	 -25.43		
 47.43   	 -40.69		  6.41   	 -20.35		
 47.26   	 -35.61		  6.33   	 -15.26		
 47.12   	 -35.61		  6.27   	 -15.26		
 46.98   	 -35.61		  6.21   	 -10.17		
 46.84   	 -30.52		  6.16   	 -10.17		
 46.71   	 -35.61		  6.12(D)	   0.00		
 46.57   	 -40.69		  6.12   	   0.00		
 46.41   	 -35.61		  6.12   	   5.09		
 46.27   	 -35.61		  6.14   	   5.09		
 46.12   	 -40.69		  6.16   	  10.17		
 45.96   	 -35.61		  6.21   	  15.26		
 45.82   	 -40.69		  6.27   	  15.26		
 45.66   	 -45.78		  6.33   	  20.35		
 45.47   	 -40.69		  6.41   	  15.26		
 45.31   	 -40.69		  6.47   	  15.26		
 45.15   	 -40.69		  6.53   	  20.35		
 44.98   	 -40.69		  6.61   	  15.26		
 44.82   	 -40.69		  6.67   	  15.26		
 44.66   	 -40.69		  6.73   	  20.35		
 44.50   	 -35.61		  6.82   	  10.17		
 44.35   	 -40.69		  6.86   	  15.26		
 44.19   	 -35.61		  6.92(E)	  15.26		
 44.05   	 -35.61		  6.98   	  10.17		
 43.91   	 -40.69		  7.02   	  15.26		
 43.74   	 -35.61		  7.08   	  10.17		
 43.60   	 -40.69		  7.12   	  10.17		
 43.44   	 -35.61		  7.16   	  10.17		
 43.30   	 -40.69		  7.20   	  15.26		
 43.13   	 -40.69		  7.26   	  15.26		
 42.97   	 -40.69		  7.32   	  15.26		
 42.81   	 -45.78		  7.39   	  25.43		
 42.62   	 -40.69		  7.49   	  35.61		
 42.46   	 -40.69		  7.63   	  35.61		
 42.30   	 -45.78		  7.77   	  50.86		
 42.12   	 -40.69		  7.98   	  61.04		
 41.95   	 -40.69		  8.22   	  71.21		
 41.79   	 -40.69		  8.50   	  81.38		
 41.63   	 -35.61		  8.83   	  86.47		
