WITTCASE NUMBER: HB001310
SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 67.61   	-249.24		 15.02   	-366.22		
 66.61   	-249.24		 13.55   	-330.62		
 65.62   	-249.24		 12.23   	-279.75		
 64.62   	-233.98		 11.11   	-254.32		
 63.68   	-167.85		 10.09   	-223.80		
 63.01   	-132.25		  9.20   	-203.46		
 62.48   	-137.33		  8.38   	-183.11		
 61.93   	 -76.30		  7.65   	-162.77		
 61.63   	 -20.35		  7.00   	-152.59		
 61.55   	   0.00		  6.39   	-152.59		
 61.55   	 -15.26		  5.78   	-147.51		
 61.49   	 -55.95		  5.19   	-157.68		
 61.26   	-137.33		  4.56   	-147.51		
 60.71   	-147.51		  3.97   	-132.25		
 60.12   	-116.99		  3.44   	-106.82		
 59.65   	-137.33		  3.01   	 -91.56		
 59.10   	-162.77		  2.64   	 -76.30		
 58.45   	-122.07		  2.34   	 -55.95		
 57.97   	 -91.56		  2.12   	 -25.43		
 57.60   	 -66.12		  2.01   	   5.09		
 57.33   	   0.00		  2.03   	  20.35		
 57.33   	   0.00		  2.12   	  25.43		
 57.33   	 -55.95		  2.22   	  25.43		
 57.11   	 -55.95		  2.32   	  30.52		
 56.89   	 -30.52		  2.44   	  30.52		
 56.76   	 -50.86		  2.56   	  30.52		
 56.56   	 -66.12		  2.69   	  10.17		
 56.30   	 -66.12		  2.73   	   0.00		
 56.03   	 -50.86		  2.73   	   0.00		
 55.83   	 -30.52		  2.73   	  -5.09		
 55.71   	 -15.26		  2.71   	   0.00		
 55.65   	 -15.26		  2.71   	   0.00		
 55.58   	 -50.86		  2.71   	   5.09		
 55.38   	 -20.35		  2.73   	  -5.09		
 55.30   	   0.00		  2.71   	  -5.09		
 55.30   	 -25.43		  2.69   	  -5.09		
 55.20   	 -25.43		  2.67   	  -5.09		
 55.10   	 -35.61		  2.64   	   0.00		
 54.95   	 -50.86		  2.64   	   0.00		
 54.75   	 -50.86		  2.64(E)	  10.17		
 54.55   	 -45.78		  2.69   	  15.26		
 54.36   	 -50.86		  2.75   	  20.35		
 54.16   	 -61.04		  2.83   	  25.43		
 53.92   	 -45.78		  2.93   	  30.52		
 53.73   	 -35.61		  3.05   	  50.86		
 53.59   	 -15.26		  3.26   	  55.95		
 53.53   	   0.00		  3.48   	  61.04		
 53.53   	 -20.35		  3.72   	  61.04		
 53.45   	 -15.26		  3.97   	  55.95		
 53.39   	 -40.69		  4.19   	  45.78		
 53.22   	 -61.04		  4.37   	  35.61		
 52.98   	 -50.86		  4.52   	  10.17		
 52.78   	 -71.21		  4.56   	 -10.17		
 52.49   	 -96.64		  4.52   	 -30.52		
 52.11   	 -40.69		  4.39   	 -35.61		
 51.94   	  -5.09		  4.25   	 -45.78		
 51.92   	 -15.26		  4.07   	 -45.78		
 51.86   	  -5.09		  3.89   	 -50.86		
 51.84   	  10.17		  3.68   	 -45.78		
 51.88   	   5.09		  3.50   	 -30.52		
 51.90   	 -20.35		  3.38   	   0.00		
 51.82   	 -20.35		  3.38   	  30.52		
 51.74   	 -40.69		  3.50   	  71.21		
 51.58   	 -96.64		  3.78   	 111.90		
 51.19   	 -76.30		  4.23   	 147.51		
 50.88   	 -40.69		  4.82   	 188.20		
 50.72   	 -20.35		  5.57   	 213.63		
 50.64   	  10.17		  6.43   	 228.89		
 50.68   	   5.09		  7.34   	 223.80		
 50.70   	 -40.69		  8.24   	 208.54		
 50.54   	 -40.69		  9.07   	 213.63		
 50.38   	 -30.52		  9.93   	 386.57		
 50.25   	 -61.04		 11.48   	 432.35		
 50.01   	 -55.95		 13.20   	 462.87		
 49.79   	 -76.30		 15.06   	 488.30		
 49.48   	 -76.30		 17.01   	 508.65		
 49.18   	 -61.04		 19.04   	 523.90		
 48.93   	 -25.43		 21.14   	 523.90		
 48.83   	   0.00		 23.23   	 513.73		
 48.83   	  10.17		 25.29   	 518.82		
 48.87   	   0.00		 27.37   	 503.56		
 48.87   	 -25.43		 29.38   	 447.61		
 48.77   	 -30.52		 31.17   	 371.31		
 48.65   	 -45.78		 32.66   	 300.10		
 48.46   	 -71.21		 33.86   	 239.06		
 48.18   	 -76.30		 34.81   	 188.20		
 47.87   	 -40.69		 35.56   	 132.25		
 47.71   	  10.17		 36.09   	  86.47		
 47.75   	  15.26		 36.44   	  61.04		
 47.81   	   0.00		 36.68   	  35.61		
 47.81   	   0.00		 36.83   	  25.43		
 47.81   	  10.17		 36.93   	  20.35		
 47.85   	  40.69		 37.01   	  25.43		
 48.02   	  76.30		 37.11   	  25.43		
 48.32   	  91.56		 37.21   	  35.61		
 48.69   	 127.16		 37.35   	  40.69		
 49.20   	 513.73		 37.52   	  71.21		
 51.25   	 442.52		 37.80   	  76.30		
 53.02   	 483.21		 38.11   	  91.56		
 54.95   	 457.78		 38.47   	  91.56		
 56.79   	 396.74		 38.84   	 101.73		
 58.37   	 361.14		 39.25   	 111.90		
 59.82   	 305.19		 39.69   	 116.99		
 61.04   	 228.89		 40.16   	 116.99		
 61.95   	 132.25		 40.63   	 111.90		
 62.48   	 106.82		 41.08   	 122.07		
 62.91   	 116.99		 41.57   	 122.07		
 63.38   	 142.42		 42.05   	 127.16		
 63.95   	 183.11		 42.56   	 116.99		
 64.68   	 172.94		 43.03   	 106.82		
 65.37   	 157.68		 43.46   	 106.82		
 66.00   	 188.20		 43.89   	  96.64		
 66.75   	 203.46		 44.27   	 101.73		
 67.57   	 147.51		 44.68   	  96.64		
 68.16   	 127.16		 45.07   	  86.47		
 68.67   	 152.59		 45.41   	  71.21		
 69.28   	 162.77		 45.70   	  71.21		
 69.93   	 178.03		 45.98   	  61.04		
 70.64   	 152.59		 46.23   	  61.04		
 71.25   	 142.42		 46.47   	  50.86		
 71.82   	 162.77		 46.67   	  45.78		
 72.47   	 152.59		 46.86   	  35.61		
 73.08   	 137.33		 47.00   	  30.52		
 73.63   	 132.25		 47.12   	  25.43		
 74.16   	 137.33		 47.22   	  20.35		
 74.71   	 116.99		 47.30   	  10.17		
 75.18   	  25.43		 47.34(S)	   0.00		
 75.28(S)	 -40.69		 47.34   	 -15.26		
 75.12   	 -55.95		 47.28   	 -30.52		
 74.89   	 -66.12		 47.16   	 -50.86		
 74.63   	 -50.86		 46.96   	 -81.38		
 74.42   	 -76.30		 46.63   	-106.82		
 74.12   	-116.99		 46.21   	-132.25		
 73.65   	-106.82		 45.68   	-167.85		
 73.22   	 -71.21		 45.00   	-223.80		
 72.94   	 -81.38		 44.11   	-274.67		
 72.61   	-111.90		 43.01   	-300.10		
 72.17   	-127.16		 41.81   	-356.05		
 71.66   	-127.16		 40.39   	-427.26		
 71.15   	-127.16		 38.68   	-478.13		
 70.64   	-137.33		 36.76   	-513.73		
 70.09   	-183.11		 34.71   	-528.99		
 69.36   	-193.29		 32.59   	-539.16		
 68.59   	-172.94		 30.44   	-549.34		
 67.89   	-152.59		 28.24   	-549.34		
 67.28   	-208.54		 26.04   	-534.08		
 66.45   	-254.32		 23.91   	-513.73		
 65.43   	-239.06		 21.85   	-493.39		
 64.48   	-208.54		 19.88   	-467.95		
 63.64   	-193.29		 18.01   	-432.35		
 62.87   	-162.77		 16.28   	-401.83		
 62.22   	-178.03		 14.67   	-371.31		
 61.51   	-198.37		 13.18   	-330.62		
 60.71   	-132.25		 11.86   	-300.10		
 60.18   	 -55.95		 10.66   	-269.58		
 59.96   	 -20.35		  9.58   	-239.06		
 59.88   	  15.26		  8.63   	-218.72		
 59.94   	   0.00		  7.75   	-193.29		
 59.94   	 -55.95		  6.98   	-178.03		
 59.71   	-101.73		  6.27   	-157.68		
 59.31   	-127.16		  5.64   	-137.33		
 58.80   	-142.42		  5.09   	-127.16		
 58.23   	-127.16		  4.58   	-116.99		
 57.72   	-137.33		  4.11   	-101.73		
 57.17   	-157.68		  3.70   	 -91.56		
 56.54   	-127.16		  3.34   	 -81.38		
 56.03   	 -55.95		  3.01   	 -61.04		
 55.81   	  -5.09		  2.77   	 -50.86		
 55.79   	 -20.35		  2.56   	 -45.78		
 55.71   	 -40.69		  2.38   	 -45.78		
 55.54   	 -50.86		  2.20   	 -25.43		
