WITTCASE NUMBER: HB003014
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  4.07   	-122.07		 65.09   	-106.82		
  3.58   	-132.25		 64.66   	-106.82		
  3.05   	-127.16		 64.23   	-111.90		
  2.54   	-122.07		 63.78   	-111.90		
  2.05   	-106.82		 63.34   	-111.90		
  1.63   	 -86.47		 62.89   	-111.90		
  1.28   	 -61.04		 62.44   	-111.90		
  1.04   	 -25.43		 61.99   	-111.90		
  0.94(D)	   0.00		 61.55   	-106.82		
  0.94   	  25.43		 61.12   	-106.82		
  1.04   	  55.95		 60.69   	-106.82		
  1.26   	  71.21		 60.26   	-101.73		
  1.55   	  86.47		 59.86   	 -96.64		
  1.89   	  91.56		 59.47   	 -96.64		
  2.26   	  91.56		 59.08   	 -96.64		
  2.62   	  86.47		 58.70   	 -96.64		
  2.97   	  81.38		 58.31   	 -91.56		
  3.30   	  71.21		 57.94   	 -86.47		
  3.58   	  61.04		 57.60   	 -91.56		
  3.83   	  40.69		 57.23   	 -81.38		
  3.99   	  35.61		 56.91   	 -86.47		
  4.13   	  25.43		 56.56   	 -81.38		
  4.23   	  10.17		 56.24   	 -76.30		
  4.27   	  10.17		 55.93   	 -76.30		
  4.31   	   5.09		 55.63   	 -71.21		
  4.33   	  10.17		 55.34   	 -71.21		
  4.37   	  10.17		 55.06   	 -66.12		
  4.42   	  10.17		 54.79   	 -71.21		
  4.46   	  20.35		 54.51   	 -66.12		
  4.54   	  25.43		 54.24   	 -66.12		
  4.64   	  25.43		 53.98   	 -66.12		
  4.74   	  30.52		 53.71   	 -66.12		
  4.86   	  30.52		 53.45   	 -61.04		
  4.98   	  30.52		 53.20   	 -61.04		
  5.11   	  20.35		 52.96   	 -66.12		
  5.19   	  20.35		 52.70   	 -55.95		
  5.27   	  15.26		 52.47   	 -55.95		
  5.33   	   5.09		 52.25   	 -55.95		
  5.35   	   0.00		 52.02   	 -55.95		
  5.35   	   0.00		 51.80   	 -55.95		
  5.35   	 -10.17		 51.58   	 -50.86		
  5.31   	  -5.09		 51.37   	 -50.86		
  5.29   	  -5.09		 51.17   	 -45.78		
  5.27   	   0.00		 50.99   	 -50.86		
  5.27   	   0.00		 50.78   	 -45.78		
  5.27   	   5.09		 50.60   	 -45.78		
  5.29   	  10.17		 50.42   	 -40.69		
  5.33   	  20.35		 50.25   	 -45.78		
  5.41   	  15.26		 50.07   	 -40.69		
  5.47   	  25.43		 49.91   	 -35.61		
  5.57   	  20.35		 49.77   	 -40.69		
  5.66   	  25.43		 49.60   	 -35.61		
  5.76   	  20.35		 49.46   	 -35.61		
  5.84   	  20.35		 49.32   	 -40.69		
  5.92   	  20.35		 49.16   	 -35.61		
  6.00   	  15.26		 49.01   	 -35.61		
  6.06   	  10.17		 48.87   	 -35.61		
  6.10   	   5.09		 48.73   	 -30.52		
  6.12   	   0.00		 48.61   	 -35.61		
  6.12   	   0.00		 48.46   	 -30.52		
  6.12   	  -5.09		 48.34   	 -30.52		
  6.10   	 -10.17		 48.22   	 -30.52		
  6.06   	 -10.17		 48.10   	 -25.43		
  6.02   	 -10.17		 48.00   	 -30.52		
  5.98   	 -10.17		 47.87   	 -20.35		
  5.94   	 -15.26		 47.79   	 -25.43		
  5.88   	 -10.17		 47.69   	 -25.43		
  5.84   	 -15.26		 47.59   	 -25.43		
  5.78   	  -5.09		 47.49   	 -25.43		
  5.76   	 -10.17		 47.39   	 -25.43		
  5.72   	   0.00		 47.28   	 -25.43		
  5.72   	   5.09		 47.18   	 -20.35		
  5.74   	  10.17		 47.10   	 -25.43		
  5.78   	  20.35		 47.00   	 -20.35		
  5.86   	  25.43		 46.92   	 -25.43		
  5.96   	  35.61		 46.82   	 -20.35		
  6.10   	  45.78		 46.73   	 -25.43		
  6.29   	  45.78		 46.63   	 -20.35		
  6.47   	  55.95		 46.55   	 -25.43		
  6.69   	  55.95		 46.45   	 -25.43		
  6.92   	  61.04		 46.35   	 -20.35		
  7.16   	  55.95		 46.27   	 -20.35		
  7.39   	  55.95		 46.18   	 -20.35		
  7.61   	  55.95		 46.10   	 -20.35		
  7.83   	  45.78		 46.02   	 -15.26		
  8.02   	  45.78		 45.96   	 -20.35		
  8.20   	  35.61		 45.88   	 -15.26		
  8.34   	  25.43		 45.82   	 -20.35		
  8.44   	  20.35		 45.74   	 -15.26		
  8.52   	  10.17		 45.68   	 -20.35		
  8.57   	   0.00		 45.59   	 -20.35		
  8.57   	   0.00		 45.51   	 -20.35		
  8.57   	 -10.17		 45.43   	 -20.35		
  8.52   	  -5.09		 45.35   	 -25.43		
  8.50   	 -15.26		 45.25   	 -20.35		
  8.44   	 -10.17		 45.17   	 -20.35		
  8.40   	 -10.17		 45.09   	 -25.43		
  8.36   	 -10.17		 44.98   	 -25.43		
  8.32   	 -10.17		 44.88   	 -20.35		
  8.28(E)	   0.00		 44.80   	 -25.43		
  8.28   	   5.09		 44.70   	 -20.35		
  8.30   	  10.17		 44.62   	 -20.35		
  8.34   	  15.26		 44.54   	 -20.35		
  8.40   	  20.35		 44.46   	 -15.26		
  8.48   	  30.52		 44.39   	 -20.35		
  8.61   	  40.69		 44.31   	 -20.35		
  8.77   	  45.78		 44.23   	 -20.35		
  8.95   	  66.12		 44.15   	 -20.35		
  9.22   	  81.38		 44.07   	 -15.26		
  9.54   	 111.90		 44.01   	 -15.26		
  9.99   	 137.33		 43.95   	 -15.26		
 10.54   	 167.85		 43.89   	 -15.26		
 11.21   	 198.37		 43.82   	 -15.26		
 12.00   	 228.89		 43.76   	 -20.35		
 12.92   	 315.36		 43.68   	 -15.26		
 14.18   	 330.62		 43.62   	 -25.43		
 15.50   	 340.79		 43.52   	 -20.35		
 16.87   	 345.88		 43.44   	 -15.26		
 18.25   	 350.97		 43.38   	 -20.35		
 19.65   	 350.97		 43.30   	 -20.35		
 21.06   	 340.79		 43.21   	 -15.26		
 22.42   	 340.79		 43.15   	 -20.35		
 23.78   	 320.45		 43.07   	 -15.26		
 25.07   	 315.36		 43.01   	 -15.26		
 26.33   	 295.01		 42.95   	 -15.26		
 27.51   	 284.84		 42.89   	 -15.26		
 28.65   	 264.50		 42.83   	 -20.35		
