WITTCASE NUMBER: HA002728
SAMPLE NUMBER:   11
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  RFA     	  RFA'		
115.99   	  61.04		135.42   	 376.40		
116.24   	  35.61		136.93   	 310.27		
116.38   	  25.43		138.17   	 259.41		
116.48   	  20.35		139.21   	 213.63		
116.56   	  10.17		140.06   	 178.03		
116.60   	  15.26		140.77   	 142.42		
116.66   	   0.00		141.34   	 111.90		
116.66   	 -25.43		141.79   	  86.47		
116.56   	 -35.61		142.14   	  50.86		
116.42   	 -40.69		142.34   	  20.35		
116.26   	 -55.95		142.42   	 -15.26		
116.03   	 -76.30		142.36   	 -45.78		
115.73   	-111.90		142.18   	 -81.38		
115.28   	-147.51		141.85   	-116.99		
114.69   	-183.11		141.38   	-137.33		
113.96   	-213.63		140.83   	-167.85		
113.10   	-233.98		140.16   	-188.20		
112.17   	-233.98		139.41   	-208.54		
111.23   	-239.06		138.58   	-223.80		
110.27   	-254.32		137.68   	-233.98		
109.26   	-284.84		136.74   	-244.15		
108.12   	-396.74		135.77   	-259.41		
106.53   	-508.65		134.73   	-264.50		
104.50   	-498.47		133.67   	-279.75		
102.50   	-417.09		132.55   	-284.84		
100.83   	-371.31		131.41   	-300.10		
 99.35   	-396.74		130.21   	-305.19		
 97.76   	-422.18		128.99   	-305.19		
 96.07   	-422.18		127.77   	-315.36		
 94.38   	-406.92		126.51   	-310.27		
 92.76   	-371.31		125.27   	-315.36		
 91.27   	-340.79		124.01   	-315.36		
 89.91   	-325.53		122.75   	-315.36		
 88.61   	-310.27		121.48   	-315.36		
 87.36   	-295.01		120.22   	-305.19		
 86.18   	-269.58		119.00   	-300.10		
 85.11   	-264.50		117.80   	-289.93		
 84.05   	-274.67		116.64   	-269.58		
 82.95   	-254.32		115.56   	-249.24		
 81.93   	-172.94		114.57   	-218.72		
 81.24   	 -86.47		113.69   	-193.29		
 80.89   	   0.00		112.92   	-167.85		
 80.89   	 223.80		112.25   	-152.59		
 81.79   	 579.86		111.64   	-142.42		
 84.11   	 620.55		111.07   	-132.25		
 86.59   	 259.41		110.54   	-137.33		
 87.63   	  -5.09		109.99   	-137.33		
 87.61   	  -5.09		109.44   	-147.51		
 87.59   	  40.69		108.85   	-147.51		
 87.75   	  45.78		108.26   	-152.59		
 87.93   	  30.52		107.65   	-147.51		
 88.06   	 -50.86		107.06   	-142.42		
 87.85   	-162.77		106.49   	-137.33		
 87.20   	-218.72		105.94   	-127.16		
 86.33   	-213.63		105.43   	-116.99		
 85.47   	-198.37		104.96   	-106.82		
 84.68   	-193.29		104.54   	 -91.56		
 83.91   	-188.20		104.17   	 -91.56		
 83.15   	-203.46		103.80   	 -86.47		
 82.34   	-208.54		103.46   	 -81.38		
 81.51   	-198.37		103.13   	 -76.30		
 80.71   	-183.11		102.83   	 -76.30		
 79.98   	-183.11		102.52   	 -71.21		
 79.25   	-198.37		102.24   	 -76.30		
 78.45   	-198.37		101.93   	 -71.21		
 77.66   	-188.20		101.65   	 -61.04		
 76.91   	-178.03		101.40   	 -66.12		
 76.20   	-167.85		101.14   	 -61.04		
 75.52   	-157.68		100.89   	 -50.86		
 74.89   	-137.33		100.69   	 -55.95		
 74.34   	-116.99		100.47   	 -45.78		
 73.88   	 -86.47		100.28   	 -50.86		
 73.53   	 -66.12		100.08   	 -55.95		
 73.27   	 -66.12		 99.86   	 -55.95		
 73.00   	 -45.78		 99.63   	 -55.95		
 72.82   	 -35.61		 99.41   	 -66.12		
 72.68   	 -20.35		 99.15   	 -66.12		
 72.59   	 -71.21		 98.88   	 -76.30		
 72.31   	 -91.56		 98.58   	 -66.12		
 71.94   	 -96.64		 98.31   	 -71.21		
 71.56   	 -86.47		 98.03   	 -61.04		
 71.21   	 -66.12		 97.78   	 -55.95		
 70.95   	 -35.61		 97.56   	 -55.95		
 70.80   	  -5.09		 97.33   	 -45.78		
 70.78   	 -25.43		 97.15   	 -45.78		
 70.68   	 -55.95		 96.97   	 -40.69		
 70.46   	 -55.95		 96.81   	 -40.69		
 70.23   	 -35.61		 96.64   	 -40.69		
 70.09   	   5.09		 96.48   	 -35.61		
 70.11   	  35.61		 96.34   	 -40.69		
 70.25   	  40.69		 96.17   	 -40.69		
 70.42   	  10.17		 96.01   	 -50.86		
 70.46   	  -5.09		 95.81   	 -50.86		
 70.44   	 -15.26		 95.60   	 -61.04		
 70.38   	 -20.35		 95.36   	 -61.04		
 70.29   	 -25.43		 95.12   	 -71.21		
 70.19   	 -10.17		 94.83   	 -76.30		
 70.15   	   0.00		 94.53   	 -81.38		
 70.15   	 -30.52		 94.20   	 -76.30		
 70.03   	 -86.47		 93.90   	 -71.21		
 69.68   	-106.82		 93.61   	 -66.12		
 69.26   	 -91.56		 93.35   	 -55.95		
 68.89   	 -55.95		 93.12   	 -50.86		
 68.67   	 -20.35		 92.92   	 -40.69		
 68.59(D)	  15.26		 92.76   	 -45.78		
 68.65   	  45.78		 92.57   	 -45.78		
