WITTCASE NUMBER: HA002488
SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  RFA     	  RFA'		
 24.62   	 -35.61		 37.80   	 -10.17		
 24.48   	 -20.35		 37.76   	 -10.17		
 24.39   	 -25.43		 37.72   	 -10.17		
 24.29   	 -25.43		 37.68   	  -5.09		
 24.19   	 -15.26		 37.66   	 -10.17		
 24.13   	  10.17		 37.62   	 -15.26		
 24.17   	  25.43		 37.56   	 -15.26		
 24.27   	  40.69		 37.50   	 -15.26		
 24.44   	  35.61		 37.44   	 -15.26		
 24.58   	  45.78		 37.38   	 -15.26		
 24.76   	  61.04		 37.31   	 -20.35		
 25.00   	  81.38		 37.23   	 -15.26		
 25.33   	 116.99		 37.17   	 -15.26		
 25.80   	 142.42		 37.11   	 -10.17		
 26.37   	 152.59		 37.07   	  -5.09		
 26.98   	 137.33		 37.05   	 -10.17		
 27.53   	 122.07		 37.01   	 -10.17		
 28.02   	 106.82		 36.97   	 -10.17		
 28.44   	 106.82		 36.93   	  -5.09		
 28.87   	 116.99		 36.91   	  -5.09		
 29.34   	 111.90		 36.89   	 -10.17		
 29.79   	  96.64		 36.85   	  -5.09		
 30.17   	  61.04		 36.83   	  -5.09		
 30.42   	  50.86		 36.81   	 -10.17		
 30.62   	  40.69		 36.76   	 -10.17		
 30.78   	  35.61		 36.72   	 -10.17		
 30.93   	  25.43		 36.68   	  -5.09		
 31.03   	  20.35		 36.66   	 -15.26		
 31.11   	  25.43		 36.60   	 -10.17		
 31.21   	  45.78		 36.56   	 -15.26		
 31.39   	  45.78		 36.50   	 -10.17		
 31.58   	  40.69		 36.46   	 -10.17		
 31.74   	  45.78		 36.42   	  -5.09		
 31.92   	  40.69		 36.40   	   0.00		
 32.09   	  61.04		 36.40   	   5.09		
 32.33   	  61.04		 36.42   	  15.26		
 32.57   	  61.04		 36.48   	  30.52		
 32.82   	  55.95		 36.60   	  61.04		
 33.04   	  55.95		 36.85   	 111.90		
 33.27   	  61.04		 37.29   	 188.20		
 33.51   	  61.04		 38.05   	 289.93		
 33.75   	  50.86		 39.21   	 391.66		
 33.96   	  55.95		 40.77   	 457.78		
 34.18   	  50.86		 42.60   	 478.13		
 34.38   	  55.95		 44.52   	 447.61		
 34.61   	  50.86		 46.31   	 376.40		
 34.81   	  50.86		 47.81   	 279.75		
 35.02   	  61.04		 48.93   	 178.03		
 35.26   	  66.12		 49.64   	 101.73		
 35.52   	  71.21		 50.05   	  45.78		
 35.81   	  76.30		 50.23   	  20.35		
 36.11   	  81.38		 50.32   	  35.61		
 36.44   	  81.38		 50.46   	 116.99		
 36.76   	  81.38		 50.93   	 152.59		
 37.09   	  86.47		 51.54   	 183.11		
 37.44   	  91.56		 52.27   	 198.37		
 37.80   	  81.38		 53.06   	 193.29		
 38.13   	  81.38		 53.83   	 188.20		
 38.45   	  71.21		 54.59   	 167.85		
 38.74   	  71.21		 55.26   	 152.59		
 39.02   	  61.04		 55.87   	 127.16		
 39.27   	  55.95		 56.38   	 116.99		
 39.49   	  55.95		 56.85   	 122.07		
 39.72   	  50.86		 57.33   	 127.16		
 39.92   	  45.78		 57.84   	 132.25		
 40.10   	  35.61		 58.37   	 142.42		
 40.24   	  25.43		 58.94   	 152.59		
